class,age,male,female
0,0 to 1,5449.71,4957.35
1,1 to 5,21340.77,19379.08
10,10 to 15,29932.22,26232.36
15,15 to 20,27787.29,24837.38
20,20 to 25,22806.68,18461.68
25,25 to 30,19681.68,16732.47
30,30 to 35,18923.32,17320.84
35,35 to 40,18081.27,15441.27
40,40 to 45,14826.33,12645.58
45,45 to 50,11817.16,10489.94
5,5 to 10,30527.4,27025.76
50,50 to 55,10012.27,8811.04
55,55 to 60,8109.52,9000.71
60,60 to 65,8835.8,8364.6
65,65 to 70,6378.97,6029.33
70,70 to 75,3738.22,3744.92
75,75 to 80,1962.57,2209.98
80,80 and over,2191.89,2688.88
