Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Panchayati Raj Department||Zila Panchayat Amethi,244/Nivida/ZP/2025-26 Date- 22-07-2025,2025_UPPRD_1065171_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"10,701",Yes,percentage,2.0%,AMA Zila Panchayat Amethi,Gauriganj Amethi,Work No 14 Gram panchayat Jangalramnagar me Baramasi Ranvir nagar marg se poore Bodan ki oor Lepan marammat,Work No 14 Gram panchayat Jangalramnagar me Baramasi Ranvir nagar marg se poore Bodan ki oor Lepan marammat,Please refer Tender documents. ,NA ,"5,35,073",Civil Works - Others,NA ,Tender,30.0,30.0,Amethi,227409.0,NA ,NA ,NA ,Zila Panchayat Amethi,No ,No,18-Aug-2025 12:00 PM,25-Aug-2025 02:30 PM,18-Aug-2025 12:00 PM,25-Aug-2025 02:00 PM,NA ,NA ,18-Aug-2025 12:00 PM,25-Aug-2025 02:00 PM,17-Sep-2025 12:45 PM,631.0,AMA Zila Panchayat Amethi,Gauriganj Amethi,No,Appar Mukhya Adhikari Zila Panchayat Amethi,Zila Panchayat Amethi,1.0,Fee/PreQual/Technical,.pdf,Technical,1,DD - Demand Draft,AOC,Panchayati Raj Department||Zila Panchayat Amethi,2025_UPPRD_1065171_14,244/Nivida/ZP/2025-26 Date- 22-07-2025,Work No 14 Gram panchayat Jangalramnagar me Baramasi Ranvir nagar marg se poore Bodan ki oor Lepan marammat,1,5479904,HARI LAL PRAJAPATI,23-Aug-2025 09:10 PM,Accepted-AOC,l1,26-Dec-2025 03:20 PM,Finance,Summary,Vasu Krishna,18-Sep-2025 12:40 PM,,BOQ Comparative Chart,Zp Amethi,Internal,,Vasu Krishna,24-Sep-2025 03:24 PM,finsummary_1941729.pdf (233.54 KB),1.0,5479904.0,HARI LAL PRAJAPATI,INR,"534,805.498",Technical,summary uploaded,Vasu Krishna,10-Sep-2025 04:57 PM,technical_1941729.pdf,26-Dec-2025,"INR 534,805.498",90.0,Vasu Krishna,26-Dec-2025 03:20 PM,ffffffffffffff.pdf (193.00 KB),Zp Amethi,Internal,,Vasu Krishna,17-Sep-2025 12:41 PM,17-Sep-2025 12:45 PM,techsummary_1941729.pdf (479.83 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,2,FDR - Fixed Deposit,AOC,,,,,2,5475801,JITENDRA BAHADUR SINGH,23-Aug-2025 08:22 AM,Rejected-Finance,L2,24-Sep-2025 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,AOC,,,,,3,5483174,M/S AMIT ENTERPRISES,24-Aug-2025 02:00 PM,Rejected-Finance,L2,24-Sep-2025 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
