Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
06-May-2025,"INR 29,817,934.03",365.0,Rakesh Kumar Chaurasia,17-Dec-2025 04:33 PM,WorkOrderITIKalluwalaAfjalgarhBijnorOfficeCopy.pdf (1154.00 KB),Tender Awarded,1.0,5133905.0,MS GUL AHMAD CONTRACTOR,INR,"29,817,934.03",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1023338_2,53/E-TENDER/MEERUT-ZONE/24-25 DATED 26-03-2025,PROPOSED CONSTRUCTION BALANCE WORK OF GOVT. ITI BUILDING AT KALLUWALA AFZALGARH DISTT. BIJNOR,1,5133905,MS GUL AHMAD CONTRACTOR,22-Apr-2025 12:10 PM,Accepted-AOC,L-1,17-Dec-2025 04:33 PM,Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,24-Apr-2025 05:13 PM,finance_1860908.pdf,BOQ Comparative Chart,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,24-Apr-2025 11:01 AM,24-Apr-2025 11:15 AM,techsummary_1860908.pdf (600.40 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,24-Apr-2025 10:58 AM,technical_1860908.pdf,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,24-Apr-2025 05:17 PM,finsummary_1860908.pdf (554.96 KB),AOC,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut","5,99,000",No,fixed,,EE UPRNSS,BIJNORE,1,Fee/PreQual/Technical,.pdf,Technical,17-Apr-2025 11:00 AM,22-Apr-2025 02:00 PM,17-Apr-2025 11:00 AM,22-Apr-2025 02:00 PM,NA ,NA ,17-Apr-2025 11:00 AM,22-Apr-2025 02:00 PM,24-Apr-2025 11:15 AM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,53/E-TENDER/MEERUT-ZONE/24-25 DATED 26-03-2025,2025_UPRNS_1023338_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,"3,894",EE UPRNSS,BIJNORE,No,PROPOSED CONSTRUCTION BALANCE WORK OF GOVT. ITI BUILDING AT KALLUWALA AFZALGARH DISTT. BIJNOR,PROPOSED CONSTRUCTION BALANCE WORK OF GOVT. ITI BUILDING AT KALLUWALA AFZALGARH DISTT. BIJNOR,Please refer Tender documents. ,NA ,"2,99,37,685",Civil Works - Buildings,NA ,Tender,90.0,365.0,KALLUWALA AFZALGARH,246722.0,NA ,NA ,NA ,MEERUT,No ,No,AOC
,,,,,,,,,,,,,,,,2,5135239,M/S RAJAN ENTERPRISES,21-Apr-2025 01:32 PM,Rejected-Finance,Quoted Rates Are Higher,24-Apr-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,AOC
