Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra,07/SE/2025-26,2025_UPIDC_1087074_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,04-Nov-2025 11:00 AM,11-Nov-2025 03:00 PM,04-Nov-2025 11:00 AM,11-Nov-2025 01:00 PM,NA ,NA ,04-Nov-2025 11:00 AM,11-Nov-2025 01:00 PM,17-Nov-2025 03:00 PM,Superintending Engineer,"3rd Circle Irrigation Works, 139 Mall Road Pratappura Agra","1,57,000",No,fixed,,Nil,Nil,Renovation work of the left side service road of the canal from Km 86.400 to Km 92.000 of Fatehpur Sikri branch,Renovation work of the left side service road of the canal from Km 86.400 to Km 92.000 of Fatehpur Sikri branch,Please refer Tender documents. ,NA ,"78,91,000",Civil Works,NA ,Tender,90.0,60.0,Fatehpur Sikri,283110.0,"Office of The SE 3rd Circle Irrigation Works, Agra ","3rd Circle Irrigation Works, 139 Mall Road Pratappura Agra ",07-Nov-2025 01:00 PM ,"Office of The SE 3rd Circle Irrigation Works, Agra",No ,No,1.0,Fee/PreQual/Technical,.pdf,TenderNotice07,"1,180",Nil,Nil,No,AOC,Finance,All Bid are Admitted,DHARMENDRA SINGH PHAUGAT,17-Nov-2025 04:00 PM,,BOQ Comparative Chart,D.S. Phaugat,Internal,C.B. Yadav,DHARMENDRA SINGH PHAUGAT,13-Nov-2025 12:35 PM,17-Nov-2025 03:00 PM,techsummary_1993597.pdf (926.33 KB),Technical,All Bid are Admitted,DHARMENDRA SINGH PHAUGAT,13-Nov-2025 12:31 PM,,D.S. Phaugat,Internal,C.B. Yadav,DHARMENDRA SINGH PHAUGAT,18-Nov-2025 05:27 PM,finsummary_1993597.pdf (591.76 KB),03-Dec-2025,"INR 5,104,500",60.0,DHARMENDRA SINGH PHAUGAT,05-Dec-2025 04:07 PM,AcceptanceletterFSRoad.pdf (592.00 KB),As per Attached Document,1,5667037,M/S CHAUDHARY ENTERPRISES,10-Nov-2025 10:28 PM,Rejected-Finance,L4,18-Nov-2025 05:27 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra,2025_UPIDC_1087074_1,07/SE/2025-26,Renovation work of the left side service road of the canal from Km 86.400 to Km 92.000 of Fatehpur Sikri branch,1.0,5667929.0,M/S SRASHTI INFRASTRUCTURE,INR,"5,104,500",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5667654,M/S SAVERA BUILDCON,11-Nov-2025 11:15 AM,Rejected-Finance,L3,18-Nov-2025 05:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5667929,M/S SRASHTI INFRASTRUCTURE,11-Nov-2025 11:56 AM,Accepted-AOC,L1,05-Dec-2025 04:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5667944,SAUMYAADITYA ENTERPRISES,11-Nov-2025 12:10 PM,Rejected-Finance,L2,18-Nov-2025 05:27 PM,,,,,,,,,,AOC
