S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,06-Nov-2025 10:00 AM,12-Nov-2025 03:00 PM,06-Nov-2025 10:00 AM,12-Nov-2025 02:00 PM,NA ,NA ,06-Nov-2025 10:00 AM,12-Nov-2025 02:00 PM,19-Nov-2025 02:15 PM,EE S.N.K.-1 BALRAMPUR,EE S.N.K.-1 BALRAMPUR,Earth work in silt clearance and scraping of Akbarpur dy. from km. 0.000 to km. 3.000 and 7.000 12.600,Earth work in silt clearance and scraping of Akbarpur dy. from km. 0.000 to km. 3.000 and 7.000 12.600,Please refer Tender documents. ,NA ,"4,13,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Shrawasti,271805.0,NA ,NA ,NA ,EE S.N.K.-1 BALRAMPUR,No ,No,"41,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",01/EE/2025-26,2025_UPIDC_1084460_31,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,677.0,Nil,Nil,No,AOC,1.0,5666736.0,BANKE BIHARI CONTRACTOR & GENERAL ORDER SUPPLIERS,INR,"411,558.42",Pramod Kumar,Internal,AKHILESH KUMAR SINGH,Pramod Kumar,24-Nov-2025 03:26 PM,finsummary_1996937.pdf (170.15 KB),Finance,L1,Pramod Kumar,22-Nov-2025 03:08 PM,finance_1996937.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2025_UPIDC_1084460_31,01/EE/2025-26,Earth work in silt clearance and scraping of Akbarpur dy. from km. 0.000 to km. 3.000 and 7.000 12.600,1,5666736,BANKE BIHARI CONTRACTOR & GENERAL ORDER SUPPLIERS,12-Nov-2025 10:38 AM,Accepted-AOC,L1,02-Dec-2025 12:15 PM,02-Dec-2025,"INR 411,584.42",25.0,Pramod Kumar,02-Dec-2025 12:15 PM,lot12.pdf (448.00 KB),L!,Technical,bid,Pramod Kumar,18-Nov-2025 02:19 PM,technical_1996937.pdf,Pramod Kumar,Internal,Akhilesh Kumar Singh,Pramod Kumar,19-Nov-2025 02:11 PM,19-Nov-2025 02:15 PM,techsummary_1996937.pdf (170.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5665281,SHRI KRISHNA SHUKLA,11-Nov-2025 12:14 PM,Rejected-AOC,L2,02-Dec-2025 12:15 PM,,,,,,,,,,,,,,,,,,,,AOC
