Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
30-Dec-2025,"INR 1,239,372",30.0,Amit Singh,30-Dec-2025 03:26 PM,Aoc12.pdf (1080.00 KB),Found Lowest Rate,1.0,5709671.0,MODERN ENGINEERING WORKS,29-Nov-2025 12:47 AM,Rejected-Finance,others bidders found lowest rate,30-Dec-2025 03:09 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (L S M) Varanasi||Executive Engineer(S Y N Khand) Varanasi,2025_UPIDM_1093016_1,05/EE/SMCD/25-26,Repairing of 6.6KV 1475 KW H.T Motor,1.0,5710741.0,M/S SHUBHAM CONSTRUCTION,INR,"1,239,372",Finance,all bidders are financially admitted,Amit Singh,30-Dec-2025 03:02 PM,,BOQ Comparative Chart,Amit Singh,Internal,"Ram Suremani, EE LICD, Varanasi",Amit Singh,03-Dec-2025 12:51 PM,03-Dec-2025 03:00 PM,techsummary_2008507.pdf (709.01 KB),Technical,Two bidders found responssive,Amit Singh,03-Dec-2025 12:47 PM,technical_2008507.pdf,Amit Singh,Internal,Surya Mani,Amit Singh,30-Dec-2026 06:44 PM,finsummary_2008507.pdf (325.20 KB),AOC,"32,000",No,fixed,,Nil,Nil,Repairing of 6.6KV 1475 KW H.T Motor,Repairing/Rewinding of 6.6KV 1475 KW H.T Motor,Please Refer Tender Documents ,NA ,,Pumps/Motors,Motor Repairing ,Tender,120.0,30.0,SONE PUMP CANAL STAGE 3 CHURK DIST-SONEBHADRA,231206.0,NA ,NA ,NA ,O/O EE SMCD VARANASI,No ,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,22-Nov-2026 01:00 PM,01-Dec-2025 03:00 PM,22-Nov-2025 12:30 PM,01-Dec-2025 10:00 AM,22-Nov-2025 12:30 PM ,28-Nov-2025 03:00 PM ,22-Nov-2025 12:30 PM,01-Dec-2025 10:00 AM,03-Dec-2025 03:00 PM,"2,354",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,EMD AND TENDER FEE,EE SMCD VARANASI,O/O EE SMCD VARUNAPURAM SICHAI COLONY SIGRA VARANASI,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (L S M) Varanasi||Executive Engineer(S Y N Khand) Varanasi,05/EE/SMCD/25-26,2025_UPIDM_1093016_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,2.0,5710741.0,M/S SHUBHAM CONSTRUCTION,30-Nov-2025 01:30 PM,Accepted-AOC,Found Lowest Rate,30-Dec-2025 03:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,.pdf,PRE QUALIFICATION /TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,5711087.0,M/s. Vijay Shankar Singh,30-Nov-2026 06:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Dec-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,Technical Details ,Technical particulars ,Guaranteed and other technical particulars of the items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
