Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",02/EE/2025-26,2025_UPIDC_1085688_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"20,000",Yes,fixed,,Nil,Nil,589.0,Nil,Nil,No,1.0,SBI Bank,06-Nov-2025 10:00 AM,12-Nov-2025 03:00 PM,06-Nov-2025 10:00 AM,12-Nov-2025 02:00 PM,NA ,NA ,06-Nov-2025 10:00 AM,12-Nov-2025 02:00 PM,18-Nov-2025 10:00 AM,Earth Work in Silt clearance /Scraping of Lalit Nagar Mr.From km. 0.000 to km. 7.500,Earth Work in Silt clearance /Scraping of Lalit Nagar Mr.From km. 0.000 to km. 7.500,Please refer Tender documents. ,NA ,"1,95,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Shrawasti,271805.0,NA ,NA ,NA ,EE S.N.K.-1 BALRAMPUR,No ,No,EE S.N.K.-1 BALRAMPUR,EE S.N.K.-1 BALRAMPUR,1,Fee/PreQual/Technical,.pdf,NIT,AOC,Technical,Bid,Pramod Kumar,17-Nov-2025 02:11 PM,technical_1996976.pdf,Pramod Kumar,Internal,AKHILESH KUMAR SINGH,Pramod Kumar,24-Nov-2025 04:06 PM,finsummary_1996976.pdf (170.15 KB),Finance,BID,Pramod Kumar,24-Nov-2025 03:54 PM,finance_1996976.pdf,BOQ Comparative Chart,Pramod Kumar,Internal,Akhilesh Kumar singh,Pramod Kumar,17-Nov-2025 02:31 PM,18-Nov-2025 10:00 AM,techsummary_1996976.pdf (84.76 KB),02-Dec-2025,"INR 187,499.64",25.0,Pramod Kumar,02-Dec-2025 12:09 PM,lot0101.pdf (532.00 KB),L1,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2025_UPIDC_1085688_7,02/EE/2025-26,Earth Work in Silt clearance /Scraping of Lalit Nagar Mr.From km. 0.000 to km. 7.500,1.0,5669535.0,m/s anil kumar mishra,INR,"187,499.64",1,5669555,M/S ANAND PRASAD SINGH THEKEDAR (PRO SRI ANAND PRASAD SINGH),11-Nov-2025 09:32 PM,Rejected-Finance,L2,24-Nov-2025 04:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5669535,m/s anil kumar mishra,11-Nov-2025 11:37 PM,Accepted-AOC,L1,02-Dec-2025 12:09 PM,AOC
