Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||EE Chitaurgarh Dam Construction Division Balrampur",01/EE/2025-26,2025_UPIDC_1083668_64,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Tendernotice,Silt Clearance/Scraping work of Gulriha Mr. (km 0.00 to 5.800),Silt Clearance/Scraping work of Gulriha Mr. (km 0.00 to 5.800),Please refer Tender documents. ,NA ,"1,38,000",Civil Works - Canal,NA ,Tender,90.0,20.0,Tulsipur Balrampur,271210.0,NA ,NA ,NA ,Chittaurhgarh Bandh Nirman Khand Balrampur,No ,No,589.0,Nil,Nil,No,"13,800",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Executive Engineer,Chittaurhgarh Bandh Nirman Khand Balrampur Saryu Nahar Colony Balrampur,07-Nov-2025 10:00 AM,14-Nov-2025 03:00 PM,07-Nov-2025 10:00 AM,14-Nov-2025 02:00 PM,NA ,NA ,07-Nov-2025 10:00 AM,14-Nov-2025 02:00 PM,19-Nov-2025 10:15 AM,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||EE Chitaurgarh Dam Construction Division Balrampur",2025_UPIDC_1083668_64,01/EE/2025-26,Silt Clearance/Scraping work of Gulriha Mr. (km 0.00 to 5.800),1,5671512,M/S ANAND KUMAR,12-Nov-2025 06:27 PM,Accepted-AOC,AOC,17-Dec-2025 11:20 AM,1.0,5671512.0,M/S ANAND KUMAR,INR,"137,008.18",Finance,Financial Evaluation Summary Report,akhilesh kumar singh,05-Dec-2025 05:03 PM,finance_1998288.pdf,BOQ Comparative Chart,AKHILESH KUMAR SINGH,Internal,,akhilesh kumar singh,06-Dec-2025 09:05 PM,finsummary_1998288.pdf (195.86 KB),Technical,Technical Summary Report,akhilesh kumar singh,18-Nov-2025 06:59 PM,technical_1998288.pdf,06-Dec-2025,"INR 137,008.18",10.0,akhilesh kumar singh,17-Dec-2025 11:20 AM,AOCgulrihaminar.pdf (664.00 KB),AKHILESH KUMAR SINGH,Internal,,akhilesh kumar singh,18-Nov-2025 07:28 PM,19-Nov-2025 10:15 AM,techsummary_1998288.pdf (195.86 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5671621,RAMTIRATH MISHRA (RAMTIRATH MISHRA CONTRACTOR),13-Nov-2025 10:46 PM,Rejected-Finance,L2,06-Dec-2025 09:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
