S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,11/LCDJ/EE/2025-26,2025_UPIDM_1056993_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Aug-2026 06:45 PM,11-Aug-2025 02:00 PM,04-Aug-2025 10:00 AM,11-Aug-2025 12:00 PM,NA ,NA ,04-Aug-2025 10:00 AM,11-Aug-2025 12:00 PM,14-Aug-2025 12:15 PM,"Providing, Fixing, Installation, Testing and Commissioning of IOT based Monitoring System (Panel Set with Instruments) for observing/displaying Critical Parameters of Vertical Turbine Pumpset at Jakhlaun Pump Canal, District - Lalitpur","Providing, Fixing, Installation, Testing and Commissioning of IOT based Monitoring System (Panel Set with Instruments) for observing/displaying Critical Parameters of Vertical Turbine Pumpset at Jakhlaun Pump Canal, District - Lalitpur",Please refer Tender documents. ,NA ,"31,35,000",Electrical Works,NA ,Tender,90.0,90.0,Jakhlaun Pump Canal Lalitpur,284403.0,NA ,NA ,NA ,Jhansi,No ,No,Executive Engineer,"Office of The Executive Engineer, Lift Canal Division, Gwalior Road, Civil Lines, Jhansi",1.0,SBI Bank,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"63,000",No,fixed,,Nil,Nil,AOC,Finance,Financial Bids admitted,JAGANNATH PRASAD,15-Dec-2025 04:13 PM,finance_1936086.pdf,BOQ Comparative Chart,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE MANOJ KUMAR GUPTA,JAGANNATH PRASAD,14-Aug-2025 12:12 PM,14-Aug-2025 12:15 PM,techsummary_1936086.pdf (802.71 KB),Technical,All Bids are admitted,JAGANNATH PRASAD,14-Aug-2025 12:07 PM,technical_1936086.pdf,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE MANOJ KUMAR GUPTA,JAGANNATH PRASAD,15-Dec-2025 04:16 PM,finsummary_1936086.pdf (395.07 KB),15-Dec-2025,"INR 3,135,000",90.0,JAGANNATH PRASAD,15-Dec-2025 04:18 PM,AOC11.pdf (610.00 KB),DOS,1.0,5411632.0,BHARTIYA ENGINEERS,08-Aug-2025 12:56 PM,Accepted-AOC,AOC,15-Dec-2025 04:18 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1056993_2,11/LCDJ/EE/2025-26,"Providing, Fixing, Installation, Testing and Commissioning of IOT based Monitoring System (Panel Set with Instruments) for observing/displaying Critical Parameters of Vertical Turbine Pumpset at Jakhlaun Pump Canal, District - Lalitpur",1.0,5411632.0,BHARTIYA ENGINEERS,INR,"3,114,000",AOC
2,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5403280.0,Unique Technologies,07-Aug-2025 01:16 PM,Rejected-Finance,Not Being Lowest,15-Dec-2025 04:16 PM,,,,,,,,,,AOC
3,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
