Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
SE SIX CIRCLE LUCKNOW,SE Six circle lucknow,"1,94,000",No,percentage,2.0%,Nil,Nil,Janpad Unnao me Taura Scape ke km 0.000 se km 4.000 tak punarsathapana karya avam bayi patari ke km 1.200 se km 4.000 par brick on edge soling ka karya,Janpad Unnao me Taura Scape ke km 0.000 se km 4.000 tak punarsathapana karya avam bayi patari ke km 1.200 se km 4.000 par brick on edge soling ka karya,Please refer tender document ,NA ,"97,00,000",Civil Works,NA ,Tender,90.0,180.0,unnao,229801.0,SE Six circle lucknow ,SE Six circle lucknow ,13-Oct-2025 03:00 PM ,SE SIX CIRCLE LUCKNOW,No ,No,10-Oct-2025 11:00 AM,17-Oct-2025 03:00 PM,10-Oct-2025 11:00 AM,17-Oct-2025 01:00 PM,NA ,NA ,10-Oct-2025 11:00 AM,17-Oct-2025 01:00 PM,10-Nov-2025 01:15 PM,1.0,SBI Bank,"3,324",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow",03/SE-6/2025-26,2025_UPIDC_1081543_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Technical,technical result attached,OM PRAKASH VERMA,07-Nov-2025 12:36 PM,technical_1980071.pdf,SE OM PRAKASH VERMA,Internal,SE SIX CIRCLE SE FLOOD CIRCLE LAKHIMPUR KHIRI,OM PRAKASH VERMA,11-Nov-2025 12:27 PM,finsummary_1980071.pdf (123.38 KB),Finance,financial result attached,OM PRAKASH VERMA,10-Nov-2025 03:08 PM,finance_1980071.pdf,BOQ Comparative Chart,SE OM PRAKASH VERMA,Internal,SE SIX CIRCLE SE FLOOD CIRCLE LAKHIMPUR KHIRI,OM PRAKASH VERMA,10-Nov-2025 01:01 PM,10-Nov-2025 01:15 PM,techsummary_1980071.pdf (123.38 KB),26-Nov-2025,"INR 6,930,514.85",180.0,OM PRAKASH VERMA,24-Dec-2025 02:34 PM,aocTAURAdurgashakti.pdf (353.00 KB),Detail attached,1,5615403,AKANKSHA ASSOCIATES,17-Oct-2025 12:15 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,1.0,5615164.0,sri durga shakti traders,INR,"6,930,514.85","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow",2025_UPIDC_1081543_7,03/SE-6/2025-26,Janpad Unnao me Taura Scape ke km 0.000 se km 4.000 tak punarsathapana karya avam bayi patari ke km 1.200 se km 4.000 par brick on edge soling ka karya,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5612924,ARUN CONSTRUCTION,17-Oct-2025 11:24 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5614056,CHANDRA SEN,16-Oct-2025 11:45 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5613056,JAMAL AHMAD CONTRACTOR,17-Oct-2025 12:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Nov-2025 12:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5615086,M/S Maa Vaishnoo Traders,17-Oct-2025 11:49 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Nov-2025 12:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5613074,M/S MAHAJAN CONSTRUCTION AND SUPPLIER,16-Oct-2025 10:13 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5614373,m/s Sandeep shukla,16-Oct-2025 11:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Nov-2025 12:36 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5614280,M/S Singh Construction,17-Oct-2025 11:26 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5606648,M/S SINGH CONSTRUCTION,17-Oct-2025 11:44 AM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5615259,M/S SINGH CONTRACTOR,17-Oct-2025 12:02 PM,Rejected-Finance,QUOTED HIGHER RATE THAN L1,11-Nov-2025 12:27 PM,,,,,,,,,,AOC
