Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,BId,1.0,SBI Bank,766.0,Nil,Nil,No,"19,240",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 51 Pratapgarh",01/S.S.K-51/2025-26,2025_UPIDC_1079112_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,CUTTING OF EXTRA BERM IN INTERNAL SECTION AND STRENTHENING OF BANK FROM KM 117.000 TO KM 117.950 OF JAUNPUR BRANCH,CUTTING OF EXTRA BERM IN INTERNAL SECTION AND STRENTHENING OF BANK FROM KM 117.000 TO KM 117.950 OF JAUNPUR BRANCH,Please refer Tender documents. ,NA ,"9,62,000",Civil Works,NA ,Tender,90.0,21.0,Pratapgarh,230001.0,NA ,NA ,NA ,"Executive Engineer, Sharda Sahayak Khand-51, Prat",No ,No,Executive Engineer,"Executive Engineer, Sharda Sahayak Khand-51, Pratapgarh",01-Oct-2025 06:00 PM,14-Oct-2025 01:00 PM,01-Oct-2025 06:00 PM,13-Oct-2025 05:00 PM,NA ,NA ,01-Oct-2025 06:00 PM,13-Oct-2025 05:00 PM,21-Nov-2025 02:00 PM,AOC,1,5603572,A K CONSTRUCTION COMPANY,13-Oct-2025 02:07 PM,Rejected-Finance,higher bidder,04-Dec-2025 01:07 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 51 Pratapgarh",2025_UPIDC_1079112_19,01/S.S.K-51/2025-26,CUTTING OF EXTRA BERM IN INTERNAL SECTION AND STRENTHENING OF BANK FROM KM 117.000 TO KM 117.950 OF JAUNPUR BRANCH,Finance,ok,ashutosh saraswat,04-Dec-2025 12:40 PM,finance_1974174.pdf,BOQ Comparative Chart,Ashutosh Saraswat,Internal,manish ranjan,ashutosh saraswat,04-Dec-2025 01:07 PM,finsummary_1974174.pdf (327.25 KB),1.0,5604388.0,M/S G.S. CONSTRUCTION,INR,"461,698.25",Technical,ok,ashutosh saraswat,21-Nov-2025 11:42 AM,technical_1974174.pdf,06-Dec-2025,"INR 461,698.25",21.0,ashutosh saraswat,23-Dec-2025 04:28 PM,19.pdf (529.00 KB),ok,Ashutosh Saraswat,Internal,manish ranjan,ashutosh saraswat,21-Nov-2025 12:29 PM,21-Nov-2025 02:00 PM,techsummary_1974174.pdf (175.09 KB),AOC
,,.pdf,Tender Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5603271,EFENGY CONSTRUCTION PRIVATE LIMITED,13-Oct-2025 11:35 AM,Rejected-Technical,document not completed,21-Nov-2025 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5599878,M/S AMAR NATH DEWEDI,13-Oct-2025 02:01 PM,Rejected-Technical,document not completed,21-Nov-2025 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,5602789,Ms A S Construction,13-Oct-2025 11:34 AM,Rejected-Finance,higher bidder,04-Dec-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,5604388,M/S G.S. CONSTRUCTION,13-Oct-2025 04:37 PM,Accepted-AOC,ok,23-Dec-2025 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,5604026,M/S JAWAHAR LAL,13-Oct-2025 03:17 PM,Rejected-Technical,document not complete,21-Nov-2025 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,5603636,M/S SHIKHAR BUILDERS,13-Oct-2025 04:47 PM,Rejected-Finance,higher bidder,04-Dec-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,5603768,NIKHIL CONSTRUCTION,13-Oct-2025 03:56 PM,Rejected-Finance,higher bidder,04-Dec-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,5602342,NIRBHAY PRATAP SINGH,13-Oct-2025 08:07 AM,Rejected-Finance,higher bidder,04-Dec-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,5604255,SHANKER LAL YADAV,13-Oct-2025 04:28 PM,Rejected-Finance,higher bidder,04-Dec-2025 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
