Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Jungle clearnce and Bed and side scraping of Akodha dy From km 0.000 to 18.720,Jungle clearnce and Bed and side scraping of Akodha dy From km 0.000 to 18.720,Please refer Tender documents. ,NA ,"10,04,000",Civil Works - Canal,NA ,Rate Contract,90.0,21.0,PRAYAGRAJ,211001.0,NA ,NA ,NA ,PRAYAGRAJ,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||TPCD, allahabad",03/EE/2025-26,2025_UPIDC_1083775_42,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,10-Nov-2025 03:30 PM,15-Nov-2025 03:30 PM,10-Nov-2025 03:30 PM,15-Nov-2025 03:30 PM,NA ,NA ,10-Nov-2025 03:30 PM,15-Nov-2025 03:30 PM,17-Nov-2025 06:45 PM,"20,080",Yes,percentage,2.0%,Nil,Nil,854.0,Nil,Nil,No,EXECUTIVE ENGINEER TONS PUMP CANAL DIV PRAYAGRAJ,EXECUTIVE ENGINEER TONS PUMP CANAL DIV PRAYAGRAJ,1.0,SBI Bank,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||TPCD, allahabad",2025_UPIDC_1083775_42,03/EE/2025-26,Jungle clearnce and Bed and side scraping of Akodha dy From km 0.000 to 18.720,1,5680235,MAA ENTERPRISES,15-Nov-2025 01:56 PM,Rejected-Finance,5th,01-Dec-2025 03:21 PM,1.0,5679365.0,M/S DHYAN SINGH,INR,"576,842.8",Finance,all bid admitted,Pradeep Kumar Singh,01-Dec-2025 03:13 PM,,BOQ Comparative Chart,PRADEEP KUMAR SINGH,Internal,EESPCHAUDHARY AND DIVISIONALACC,Pradeep Kumar Singh,01-Dec-2025 03:21 PM,finsummary_2000288.pdf (421.92 KB),PRADEEP KUMAR SINGH,Internal,EE SP CHAUDHARY,Pradeep Kumar Singh,17-Nov-2025 06:42 PM,17-Nov-2025 06:45 PM,techsummary_2000288.pdf (373.71 KB),Technical,all bid accepted,Pradeep Kumar Singh,17-Nov-2025 06:33 PM,technical_2000288.pdf,01-Dec-2025,"INR 576,842.8",21.0,Pradeep Kumar Singh,01-Dec-2025 03:24 PM,akodhaaoc.pdf (422.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5676183,M/S B.G.ENGINEERS,14-Nov-2025 01:15 PM,Rejected-Finance,6th,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,5679365,M/S DHYAN SINGH,15-Nov-2025 08:45 AM,Accepted-AOC,aoc,01-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,5677997,M/S GUFRAN CONSTRUCTION,15-Nov-2025 12:54 PM,Rejected-Finance,10th,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,5677242,M/S INDRAJEET SINGH,14-Nov-2025 04:56 PM,Rejected-Finance,4th,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,5679809,M/S ISHWAR ENTERPRISES,15-Nov-2025 11:09 AM,Rejected-Finance,8th,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,5677104,m/s satish chandra jaiswal,14-Nov-2025 09:27 PM,Rejected-Finance,7th,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,5675758,SANVI CONSTRUCTION,15-Nov-2025 06:26 AM,Rejected-Finance,9th,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,5673982,SHYAMA YADAV CONTRACTOR,13-Nov-2025 05:50 PM,Rejected-Finance,3rd,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,5677671,SUBHANSHI SINGH ENTERPRISES,14-Nov-2025 06:43 PM,Rejected-Finance,2nd,01-Dec-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
