S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5692143.0,LANDMARK INFRA PROJECTS,INR,"3,869,546.94",U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra,2025_UPIDC_1091307_1,09/SE/2025-26,Construction of VRB (Box Culvert) at Km 3.450 of Jait Minor.,1,5693090,HARENDRA SINGH,22-Nov-2025 11:40 AM,Rejected-Finance,L7,05-Dec-2025 04:30 PM,15-Dec-2025,"INR 3,869,546.94",90.0,DHARMENDRA SINGH PHAUGAT,15-Dec-2025 05:33 PM,AOCJaitVRB.pdf (716.00 KB),AOC As per Attached Document,D.S. Phaugat,Internal,CB YADAV,DHARMENDRA SINGH PHAUGAT,05-Dec-2025 04:30 PM,finsummary_2004649.pdf (25.63 KB),Technical,All Bid Are admitted,DHARMENDRA SINGH PHAUGAT,24-Nov-2025 10:27 AM,,D.S. Phaugat,Internal,C.B. Yadav,DHARMENDRA SINGH PHAUGAT,24-Nov-2025 10:34 AM,27-Nov-2025 11:00 AM,techsummary_2004649.pdf (932.69 KB),Finance,All Bid are Admitted,DHARMENDRA SINGH PHAUGAT,27-Nov-2025 12:47 PM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,Construction of VRB (Box Culvert) at Km 3.450 of Jait Minor.,Construction of VRB (Box Culvert) at Km 3.450 of Jait Minor.,Please refer Tender documents. ,NA ,"51,91,000",Civil Works,NA ,Tender,90.0,90.0,Mathura,281001.0,"Office of The SE 3rd Circle Irrigation Works, Agra ","3rd Circle Irrigation Works, 139 Mall Road Pratappura Agra ",19-Nov-2025 01:00 PM ,"Office of The SE 3rd Circle Irrigation Works, Agra",No ,No,"1,180",Nil,Nil,No,17-Nov-2025 11:15 AM,22-Nov-2025 03:00 PM,17-Nov-2025 11:15 AM,22-Nov-2025 01:15 PM,NA ,NA ,17-Nov-2025 11:15 AM,22-Nov-2025 01:15 PM,27-Nov-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,TenderNotice09,Superintending Engineer,"3rd Circle Irrigation Works, 139 Mall Road Pratappura Agra",U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra,09/SE/2025-26,2025_UPIDC_1091307_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,03,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5692143,LANDMARK INFRA PROJECTS,21-Nov-2025 05:33 PM,Accepted-AOC,L1,15-Dec-2025 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ09,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5689944,MA AND SONS,22-Nov-2025 11:31 AM,Rejected-Finance,L6,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5693053,MITTAL BROTHERS,22-Nov-2025 01:14 PM,Rejected-Finance,L4,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5692393,M/S CHAUDHARY ENTERPRISES,22-Nov-2025 09:16 AM,Rejected-Finance,L3,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5692916,M/s Gyanvati Chaudhary Infracture,22-Nov-2025 12:18 PM,Rejected-Finance,L10,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5693325,Mukut Bihari Lal Contractor,22-Nov-2025 12:24 PM,Rejected-Finance,L5,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5693304,PRAGATI ASSOCIATES,22-Nov-2025 01:00 PM,Rejected-Finance,L8,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5692910,Rakesh Verma,22-Nov-2025 12:05 PM,Rejected-Finance,L9,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5692771,rupendra kumar bhardwaj,21-Nov-2025 11:17 PM,Rejected-Finance,L2,05-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
