Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 41 Amethi",2025_UPIDC_1087593_1,04/EE/SSK41/2025-26,Silt Clearance of Atheha Distributary From Km. 1.800 to Km. 7.050,1.0,5654665.0,satya dev singh,INR,"389,841.79",1,5661469,M/S MAHA LAXMI ENTERPRISES,07-Nov-2025 04:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Nov-2025 03:14 PM,24-Nov-2025,"INR 389,841.794",10.0,Manish Ranjan,06-Dec-2025 12:27 PM,Atheha1.pdf (409.00 KB),Manish Ranjan,Internal,as per attachment,Manish Ranjan,11-Nov-2025 03:16 PM,11-Nov-2025 05:00 PM,techsummary_1994945.pdf (299.53 KB),Finance,as per attachment,Manish Ranjan,12-Nov-2025 05:33 PM,finance_1994945.pdf,BOQ Comparative Chart,Manish Ranjan,Internal,as per attachment,Manish Ranjan,12-Nov-2025 05:36 PM,finsummary_1994945.pdf (340.69 KB),Technical,as per attachment,Manish Ranjan,11-Nov-2025 03:14 PM,,AOC,Silt Clearance of Atheha Distributary From Km. 1.800 to Km. 7.050,Silt Clearance of Atheha Distributary From Km. 1.800 to Km. 7.050,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Raebareli,229307.0,NA ,NA ,NA ,Gauriganj,No ,No,816.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 41 Amethi",04/EE/SSK41/2025-26,2025_UPIDC_1087593_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,SBI Bank,Executive Engineer sharda Sahayak Khand 41 Aemthi,"Office of Executive Engineer, Sharda Sahayak Khand 41, Gauriganj Amethi","10,080",No,fixed,,Nil,Nil,01-Nov-2025 10:00 AM,08-Nov-2025 11:00 AM,01-Nov-2025 10:00 AM,07-Nov-2025 05:00 PM,NA ,NA ,01-Nov-2025 10:00 AM,07-Nov-2025 05:00 PM,11-Nov-2025 05:00 PM,AOC
,,,,,,,,,2,5654722,M/S PIYUSH TRADERS,05-Nov-2025 02:14 PM,Rejected-Finance,as per bid,12-Nov-2025 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5654544,M/S Ravindra Pratap Singh,05-Nov-2025 01:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Nov-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5654665,satya dev singh,05-Nov-2025 01:52 PM,Accepted-AOC,as per bid,06-Dec-2025 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
