Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Birendra Pasean,Internal,,Birendra Paswan,24-Oct-2025 12:57 PM,24-Oct-2025 03:00 PM,techsummary_1972428.pdf (459.20 KB),11-Dec-2025,"INR 348,199.5",25.0,Birendra Paswan,22-Dec-2025 11:08 AM,sisai_14.pdf (300.00 KB),Technical,As per Upload,Birendra Paswan,19-Oct-2025 09:38 PM,technical_1972428.pdf,Finance,As per Upload,Birendra Paswan,20-Nov-2025 01:48 PM,finance_1972428.pdf,BOQ Comparative Chart,Birendra Paswan,Internal,,Birendra Paswan,06-Dec-2025 11:13 AM,finsummary_1972428.pdf (224.49 KB),1.0,5599784.0,RAVINDRA SINGH,INR,"348,199.5",1,5597625,CHANDRIKA PRASAD THEKEDAR,12-Oct-2025 04:59 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:13 AM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1078690_12,03/EESNK1BANSI/2025-26,SiltScraping and jungle clearance of sisai Dy. At km 0.000 to 12.300,AOC,04-Oct-2025 10:00 AM,13-Oct-2025 02:00 PM,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,NA ,NA ,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,24-Oct-2025 03:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Document,766.0,Nil,Nil,No,"12,000",Yes,fixed,,Nil,Nil,SiltScraping and jungle clearance of sisai Dy. At km 0.000 to 12.300,SiltScraping and jungle clearance of sisai Dy. At km 0.000 to 12.300,Please refer Tender documents. ,NA ,"5,94,000",Civil Works - Canal,NA ,Rate Contract,90.0,25.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",03/EESNK1BANSI/2025-26,2025_UPIDC_1078690_12,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5593615,Chhatrapati Shivaji Construction,10-Oct-2025 06:23 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:13 AM,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5599613,M/S JAY MAA DURGE ENTERPRISES,11-Oct-2025 02:31 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:13 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5599784,RAVINDRA SINGH,11-Oct-2025 04:58 PM,Accepted-AOC,As per upload,22-Dec-2025 11:08 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5599813,santosh kumar pal,11-Oct-2025 06:31 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:13 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
