Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Ashutosh saraswat,Internal,Manish Ranjan,ashutosh saraswat,06-Nov-2025 11:52 AM,06-Nov-2025 12:00 PM,techsummary_1973918.pdf (581.98 KB),21-Nov-2025,"INR 783,325.31",21.0,ashutosh saraswat,04-Dec-2025 02:59 PM,14.pdf (264.00 KB),ok,Technical,ok,ashutosh saraswat,06-Nov-2025 11:26 AM,,1.0,5601029.0,M/S G.S. CONSTRUCTION,INR,"783,325.315",Ashutosh saraswat,Internal,Manish ranjan,ashutosh saraswat,10-Nov-2025 02:42 PM,finsummary_1973918.pdf (308.87 KB),Finance,ok,ashutosh saraswat,10-Nov-2025 11:54 AM,,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 51 Pratapgarh",2025_UPIDC_1079112_14,01/S.S.K-51/2025-26,CUTTING OF BERM IN INTERNAL SECTION AND STRENTHENING OF WEAK BANK OF RIGHT BANK BETWEEN KM 112.200 TO KM 113.400 OF JAUNPUR BRANCH,1,5603341,EFENGY CONSTRUCTION PRIVATE LIMITED,13-Oct-2025 11:56 AM,Rejected-Technical,DisQualify,06-Nov-2025 11:52 AM,AOC,766.0,Nil,Nil,No,01-Oct-2025 01:00 PM,14-Oct-2025 01:00 PM,01-Oct-2025 01:00 PM,13-Oct-2025 05:00 PM,NA ,NA ,01-Oct-2025 01:00 PM,13-Oct-2025 05:00 PM,06-Nov-2025 12:00 PM,"29,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 51 Pratapgarh",01/S.S.K-51/2025-26,2025_UPIDC_1079112_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Executive Engineer, Sharda Sahayak Khand-51, Pratapgarh",CUTTING OF BERM IN INTERNAL SECTION AND STRENTHENING OF WEAK BANK OF RIGHT BANK BETWEEN KM 112.200 TO KM 113.400 OF JAUNPUR BRANCH,CUTTING OF BERM IN INTERNAL SECTION AND STRENTHENING OF WEAK BANK OF RIGHT BANK BETWEEN KM 112.200 TO KM 113.400 OF JAUNPUR BRANCH,Please refer Tender documents. ,NA ,"14,48,000",Civil Works,NA ,Tender,90.0,15.0,Pratapgarh,230001.0,NA ,NA ,NA ,"Executive Engineer, Sharda Sahayak Khand-51, Prat",No ,No,1.0,Fee/PreQual/Technical,.pdf,BId,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5599350,M/S AMAR NATH VERMA CONTRACTOR,11-Oct-2025 11:17 AM,Rejected-Finance,4th Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5602779,Ms A S Construction,13-Oct-2025 11:44 AM,Rejected-Finance,5th Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5601029,M/S G.S. CONSTRUCTION,12-Oct-2025 01:10 PM,Accepted-AOC,ok,04-Dec-2025 02:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,bid,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5602137,M/S KRISHNA CONSTRUCTION,13-Oct-2025 12:52 PM,Rejected-Finance,8th Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5601525,M/S Ravindra Pratap Singh,12-Oct-2025 04:36 PM,Rejected-Finance,3rd Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5603595,M/S SHIKHAR BUILDERS,13-Oct-2025 04:29 PM,Rejected-Finance,7th Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5603703,NIKHIL CONSTRUCTION,13-Oct-2025 03:45 PM,Rejected-Finance,9th Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5602324,NIRBHAY PRATAP SINGH,13-Oct-2025 08:41 AM,Rejected-Finance,2nd Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5604023,SHANKER LAL YADAV,13-Oct-2025 04:20 PM,Rejected-Finance,6th Lowest,10-Nov-2025 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
