Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||Irrigation Construction Circle, Bahraich||SCD-1, bahraich",03/EE/2025-26,2025_UPIDC_1082147_52,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,21-Oct-2025 09:00 AM,29-Oct-2025 03:00 PM,21-Oct-2025 11:00 AM,29-Oct-2025 01:00 PM,NA ,NA ,21-Oct-2025 11:00 AM,29-Oct-2025 01:00 PM,06-Nov-2025 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,"3,540",Yes,fixed,,Nil,Nil,SILT CLEARENCE OF BHILAURA BASNTI MR. FROM KM. 0.000 TO 6.825,SILT CLEARENCE OF BHILAURA BASNTI MR. FROM KM. 0.000 TO 6.825,Plz refer Tender Documents ,NA ,"1,77,000",Civil Works - Canal,NA ,Tender,90.0,20.0,Bahraich,271801.0,NA ,NA ,NA ,Executive Engineer Saryu Nahar Khand-I Bahraich,No ,No,589.0,Nil,Nil,No,Executive Engineer,Office of the Executive Engineer Saryu Nahar Khand-I Bahraich,AOC,Finance,BOS,HAESH KUMAR,08-Nov-2025 07:02 PM,finance_1986838.pdf,BOQ Comparative Chart,Executive Engineer,Internal,EE_SNK4BRH_and_DAO_SNK1BRH,HAESH KUMAR,08-Nov-2025 07:04 PM,finsummary_1986838.pdf (495.80 KB),1.0,5624402.0,Rajesh Pathak,INR,"146,776.53","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||Irrigation Construction Circle, Bahraich||SCD-1, bahraich",2025_UPIDC_1082147_52,03/EE/2025-26,SILT CLEARENCE OF BHILAURA BASNTI MR. FROM KM. 0.000 TO 6.825,1,5631721,Chinta Haran Pal,27-Oct-2025 06:26 PM,Rejected-Finance,L3,08-Nov-2025 07:04 PM,14-Nov-2025,"INR 146,776.53",20.0,HAESH KUMAR,16-Dec-2025 03:47 PM,1082147_52.pdf (503.00 KB),AOC,Technical,BOS,HAESH KUMAR,29-Oct-2025 04:32 PM,technical_1986838.pdf,Executive Engineer,Internal,EE_SNK4BRH_and_DAO_SNKIBRH,HAESH KUMAR,04-Nov-2025 01:28 PM,06-Nov-2025 01:00 PM,techsummary_1986838.pdf (121.53 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5631708,MS KUNWAR SAHAB CONSTRUCTION,27-Oct-2025 06:07 PM,Rejected-Finance,L2,08-Nov-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5624402,Rajesh Pathak,24-Oct-2025 07:15 PM,Accepted-AOC,AOC,16-Dec-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,AOC
