EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,24,000",No,fixed,,Ex. En. Const. Div. UPJN Urban Hardoi,Ex. En. Const. Div. UPJN Urban Hardoi,04-Nov-2025 02:00 PM,11-Nov-2025 04:00 PM,04-Nov-2025 02:10 PM,11-Nov-2025 02:00 PM,NA ,NA ,04-Nov-2025 02:15 PM,11-Nov-2025 02:00 PM,04-Dec-2025 03:00 PM,"Survey, Soil testing, design and supply of all materials, labour, T and P for Construction of New RCC Clear Water Reservoir 1500 KL and other appurtenant works at Kasaibara, Lucknow Cantonment","Survey, Soil testing, design and supply of all materials, labour, T and P for Construction of New RCC Clear Water Reservoir 1500 KL and other appurtenant works at Kasaibara, Lucknow Cantonment",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Rate Contract,120.0,365.0,"Kasaibara, Lucknow Cantonment",226002.0,NA ,NA ,NA ,"S.E., Const. Circle, UPJN Urban Lko",No ,No,"S.E., Const. Circle, UPJN Urban Lko","S.E., Const. Circle, UPJN Urban Lko",1,BG - Bank Guarantee,"11,800",Ex. En. Const. Div. UPJN Urban Hardoi,Ex. En. Const. Div. UPJN Urban Hardoi,No,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Lucknow)||GM, Gomti Pollution Control Unit, Lucknow||PM Peyjal (2nd) Lucknow","3374/M-13/260, dt 31-10-2025",2025_UPJNM_1088217_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,AOC,Superintending Engineer,Internal,"Executive Engineer CD Hardoi, Executive Engineer CD I Lucknow, Divisional Accountant, Assistant Engineer",MANOJ KUMAR SINGH,03-Dec-2025 04:56 PM,04-Dec-2025 03:00 PM,techsummary_1996377.pdf (172.09 KB),Finance,Financial open,MANOJ KUMAR SINGH,15-Dec-2025 03:37 PM,finance_1996377.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Executive Engineer CD Hardoi, Executive Engineer CD First, Asst. Engineer and Accountant",MANOJ KUMAR SINGH,15-Dec-2025 03:45 PM,finsummary_1996377.pdf (333.92 KB),Technical,Technical bid open,MANOJ KUMAR SINGH,03-Dec-2025 04:53 PM,technical_1996377.pdf,1,5668348,MAHATRU BUILDTAK,11-Nov-2025 01:41 PM,Rejected-Finance,Second Lowest,15-Dec-2025 03:45 PM,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Lucknow)||GM, Gomti Pollution Control Unit, Lucknow||PM Peyjal (2nd) Lucknow",2025_UPJNM_1088217_1,"3374/M-13/260, dt 31-10-2025","Survey, Soil testing, design and supply of all materials, labour, T and P for Construction of New RCC Clear Water Reservoir 1500 KL and other appurtenant works at Kasaibara, Lucknow Cantonment",1.0,5668289.0,SHARDA CONSTRUCTION CO.,INR,"18,355,292.66",15-Dec-2025,"INR 18,355,292.66",365.0,MANOJ KUMAR SINGH,15-Dec-2025 03:57 PM,LoACanttCWR1500KL.pdf (894.00 KB),Work order,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5668289,SHARDA CONSTRUCTION CO.,11-Nov-2025 12:59 PM,Accepted-AOC,First Lowest,15-Dec-2025 03:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5667920,VIVA INFRA VENTURE PRIVATE PRIVATE LIMITED,11-Nov-2025 01:46 PM,Rejected-Finance,Third Lowest,15-Dec-2025 03:45 PM,,,,,,,,,,,,,,,,,AOC
