Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Zp Amethi,Internal,,Ram Bachan Ram,16-Sep-2025 04:03 PM,16-Sep-2025 05:00 PM,techsummary_1940496.pdf (333.79 KB),Technical,Summary,Ram Bachan Ram,12-Sep-2025 04:23 PM,,17-Dec-2025,"INR 224,541.883",90.0,Vasu Krishna,17-Dec-2025 04:42 PM,ffffffffffffff.pdf (193.00 KB),Panchayati Raj Department||Zila Panchayat Amethi,2025_UPPRD_1064082_97,240/Nivida/ZP/2025-26 Date- 22-07-2025,Work No 97 Gramsabha Tikari ke Bhaisahva me pitch road se kanhaiya lal chauhan ke ghar ki oor- soling,1,5430726,HARI LAL PRAJAPATI,14-Aug-2025 05:36 PM,Rejected-Finance,L2,27-Sep-2025 02:39 PM,Zp Amethi,Internal,,Ram Bachan Ram,27-Sep-2025 02:39 PM,finsummary_1940496.pdf (352.91 KB),Finance,Summary,Ram Bachan Ram,17-Sep-2025 05:01 PM,,BOQ Comparative Chart,1.0,5430540.0,YADU NANDAN YADAV,INR,"224,541.883",AOC,Panchayati Raj Department||Zila Panchayat Amethi,240/Nivida/ZP/2025-26 Date- 22-07-2025,2025_UPPRD_1064082_97,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Work No 97 Gramsabha Tikari ke Bhaisahva me pitch road se kanhaiya lal chauhan ke ghar ki oor- soling,Work No 97 Gramsabha Tikari ke Bhaisahva me pitch road se kanhaiya lal chauhan ke ghar ki oor- soling,Please refer Tender documents. ,NA ,"2,24,766",Civil Works - Others,NA ,Tender,90.0,90.0,Amethi,227409.0,NA ,NA ,NA ,Zila Panchayat Amethi,No ,No,Appar Mukhya Adhikari Zila Panchayat Amethi,Zila Panchayat Amethi,266.0,AMA Zila Panchayat Amethi,Gauriganj Amethi,No,"4,495",No,percentage,2.0%,AMA Zila Panchayat Amethi,Gauriganj Amethi,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Technical,11-Aug-2025 12:00 PM,18-Aug-2025 02:30 PM,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,NA ,NA ,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,16-Sep-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5432705,Ms Shyam Construction,15-Aug-2025 12:04 PM,Rejected-Finance,L2,27-Sep-2025 02:39 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,2.0,Finance,.xls,Finance,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,5430540,YADU NANDAN YADAV,14-Aug-2025 04:32 PM,Accepted-AOC,Accepted,17-Dec-2025 04:42 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,AOC
