Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1089423_2,04/E.E./2025-26,Earth Work in Silt Clearance/Scraping of Dohrighat Link Canal from Km. 53.900 to Km. 61.200,1.0,5679727.0,M/S LALCHAND YADAV,INR,"380,538",1,5680046,M/S BABU LAL YADAV THIKEDAR,15-Nov-2025 12:16 PM,Rejected-Finance,L3,09-Dec-2025 07:20 PM,09-Dec-2025,"INR 450,000",15.0,Harshendra Gupta,09-Dec-2025 07:23 PM,2.pdf (442.00 KB),H. Gupta,Internal,,Harshendra Gupta,18-Nov-2025 08:22 PM,21-Nov-2025 12:30 PM,techsummary_1999935.pdf (516.34 KB),Finance,all Admitted,Harshendra Gupta,09-Dec-2025 07:08 PM,,BOQ Comparative Chart,H. Gupta,Internal,,Harshendra Gupta,09-Dec-2025 07:20 PM,finsummary_1999935.pdf (442.44 KB),Technical,all Admitted,Harshendra Gupta,18-Nov-2025 07:55 PM,,AOC,177.0,Nil,Nil,No,Executive Engineer,"Executive Engineer Sharda Sahayak Khand-32, Azamgarh","45,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",04/E.E./2025-26,2025_UPIDC_1089423_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Earth Work in Silt Clearance/Scraping of Dohrighat Link Canal from Km. 53.900 to Km. 61.200,Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"4,50,000",Civil Works,NA ,Tender,90.0,15.0,AZAMGAHR,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,e-BidDocument,10-Nov-2025 10:00 AM,17-Nov-2025 11:00 AM,10-Nov-2025 10:30 AM,15-Nov-2025 05:00 PM,NA ,NA ,10-Nov-2025 10:30 AM,15-Nov-2025 05:00 PM,21-Nov-2025 12:30 PM,AOC
,,,,,,,,,2,5679727,M/S LALCHAND YADAV,15-Nov-2025 10:40 AM,Accepted-AOC,L1,09-Dec-2025 07:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,3,5676441,M/s Shanti Enterprises,14-Nov-2025 01:50 PM,Rejected-AOC,L2,09-Dec-2025 07:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
