Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Zp Amethi,Internal,,Vasu Krishna,16-Sep-2025 01:58 PM,16-Sep-2025 03:00 PM,techsummary_1940595.pdf (286.45 KB),Finance,Summary,Vasu Krishna,17-Sep-2025 05:01 PM,,BOQ Comparative Chart,Zp Amethi,Internal,,Vasu Krishna,29-Sep-2025 02:46 PM,finsummary_1940595.pdf (228.18 KB),26-Dec-2025,"INR 2,167,814.538",90.0,Vasu Krishna,26-Dec-2025 02:03 PM,ffffffffffffff.pdf (193.00 KB),1,5447313,KARTIK CONSTRUCTION,18-Aug-2025 08:53 AM,Rejected-Finance,L2,29-Sep-2025 02:46 PM,Technical,Summary,Ram Bachan Ram,12-Sep-2025 04:56 PM,,Panchayati Raj Department||Zila Panchayat Amethi,2025_UPPRD_1064082_152,240/Nivida/ZP/2025-26 Date- 22-07-2025,Work No 152 Gramsabha Manirampur ke ghar musvapur Bajar me Nadi ki oor Nala nirmaan,1.0,5440041.0,M/S Aadya Enterprise,INR,"2,167,814.538",AOC,Panchayati Raj Department||Zila Panchayat Amethi,240/Nivida/ZP/2025-26 Date- 22-07-2025,2025_UPPRD_1064082_152,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,11-Aug-2025 12:00 PM,18-Aug-2025 02:30 PM,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,NA ,NA ,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,16-Sep-2025 03:00 PM,Appar Mukhya Adhikari Zila Panchayat Amethi,Zila Panchayat Amethi,Work No 152 Gramsabha Manirampur ke ghar musvapur Bajar me Nadi ki oor Nala nirmaan,Work No 152 Gramsabha Manirampur ke ghar musvapur Bajar me Nadi ki oor Nala nirmaan,Please refer Tender documents. ,NA ,"21,70,419",Civil Works - Others,NA ,Tender,90.0,90.0,Amethi,227409.0,NA ,NA ,NA ,Zila Panchayat Amethi,No ,No,"2,561",AMA Zila Panchayat Amethi,Gauriganj Amethi,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Technical,"43,408",No,percentage,2.0%,AMA Zila Panchayat Amethi,Gauriganj Amethi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,5440041,M/S Aadya Enterprise,18-Aug-2025 08:58 AM,Accepted-AOC,Accepted,26-Dec-2025 02:03 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,2.0,Finance,.xls,Finance,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3,5447367,MS Kamdhenu Construction,18-Aug-2025 09:04 AM,Rejected-Finance,L3,29-Sep-2025 02:46 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,AOC
