Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||ID, farrukhabad",02/E.E/2025-26,2025_UPIDC_1079911_33,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICALBID,Silt clearance of Rajpalpur minor from km 0.000 to 2.950 Jyuni minor from km 0.00 to 3.420 and Kanasi minor from km 0.00 to 3.820 km for year 2025-26,Silt clearance of Rajpalpur minor from km 0.000 to 2.950 Jyuni minor from km 0.00 to 3.420 and Kanasi minor from km 0.00 to 3.820 km for year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,15.0,FARRUKHABAD,209625.0,NA ,NA ,NA ,IRRIGATION DIVISION FARRUKHABAD,No ,No,1.0,SBI Bank,01-Nov-2025 01:00 PM,07-Nov-2025 12:00 PM,01-Nov-2025 01:00 PM,07-Nov-2025 11:00 AM,NA ,NA ,01-Nov-2025 01:00 PM,07-Nov-2025 11:00 AM,07-Nov-2025 12:50 PM,679.0,Nil,Nil,No,"18,000",No,fixed,,Nil,Nil,EXECUTIVE ENGINEER IRRIGATION DIVISION FARRUKHABAD,OFFICE OF THE EXECUTIVE ENGINEER IRRIGATION DIVISION FARRUKHABAD NALKOOP COLONY BEWAR ROAD FATEHGARH FARRUKHABAD,AOC,1.0,5659855.0,M/S EKTA CONSTRUCTION,06-Nov-2025 11:33 PM,Accepted-AOC,Responsive,10-Dec-2025 02:36 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||ID, farrukhabad",2025_UPIDC_1079911_33,02/E.E/2025-26,Silt clearance of Rajpalpur minor from km 0.000 to 2.950 Jyuni minor from km 0.00 to 3.420 and Kanasi minor from km 0.00 to 3.820 km for year 2025-26,1.0,5659855.0,M/S EKTA CONSTRUCTION,INR,"163,269.24",DurnKumarExecutiveEngineerIDFarrukhabad,Internal,DurnKumarExecutiveEngineerIDFarrukhabadRajeevKumarExecutiveEngineerLGCMainpuriAproovaGuptaDivisionalAccountantIDFarrukhabadShivanshuVajpaiAssistantEngineerIDFarrukhabad,durn kumar,07-Nov-2025 01:13 PM,finsummary_1995123.pdf (36.64 KB),Finance,bid opening summary,durn kumar,07-Nov-2025 01:04 PM,finance_1995123.pdf,BOQ Comparative Chart,Technical,bid opening summary,durn kumar,07-Nov-2025 12:39 PM,technical_1995123.pdf,15-Nov-2025,"INR 163,269.24",15.0,durn kumar,10-Dec-2025 02:36 PM,Lot11.pdf (94.00 KB),AOC,DurnKumarExecutiveEngineerIDFarrukhabad,Internal,DurnKumarExecutiveEngineerIDFarrukhabadRajeevKumarExecutiveEngineerLGCMainpuriAproovaGuptaDivisionalAccountantIDFarrukhabadShivanshuVajpaiAssistantEngineerIDFarrukhabad,durn kumar,07-Nov-2025 12:47 PM,07-Nov-2025 12:50 PM,techsummary_1995123.pdf (36.08 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
