EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"58,000",No,fixed,,Nil,Nil,"2,354",Nil,Nil,No,EE ID-2 DEORIA,OFFICE OF EE ID-2 DEORIA,1.0,SBI Bank,15-Oct-2025 10:00 AM,24-Oct-2025 02:00 PM,15-Oct-2025 10:00 AM,24-Oct-2025 12:00 PM,NA ,NA ,15-Oct-2025 10:00 AM,24-Oct-2025 12:00 PM,24-Oct-2025 04:40 PM,Silt clearance,Silt Clearance of Deoria Dy. Between Km 0.000 to Km. 53.000,AS PER NIT ,NA ,"28,68,880",Civil Works - Canal,NA ,Tender,90.0,30.0,DEORIA DY,274001.0,NA ,NA ,NA ,OFFICE OF EE ID-2 DEORIA,No ,No,1,Fee/PreQual/Technical,.pdf,BID DOCUMENTS,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID-2, deoria",01/EE/2025-26 DT. 26-09-2025,2025_UPIDC_1079274_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1,5609638,M/S Anil Kumar Rai,15-Oct-2025 05:48 PM,Rejected-Finance,AS PER BOQ,02-Dec-2025 08:50 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID-2, deoria",2025_UPIDC_1079274_19,01/EE/2025-26 DT. 26-09-2025,Silt clearance,SANJAY MATARAY,Internal,BODHAI RAM,Sanjay Mataray,02-Dec-2025 08:50 PM,finsummary_1983113.pdf (179.19 KB),Finance,2 contractors have been participated and admitted to financial evaluation.,Sanjay Mataray,24-Oct-2025 04:52 PM,,BOQ Comparative Chart,1.0,5609649.0,Sri Prakash Shukla,INR,"2,798,879.33",SANJAY MATARAY,Internal,BODHAI RAM,Sanjay Mataray,24-Oct-2025 04:35 PM,24-Oct-2025 04:40 PM,techsummary_1983113.pdf (179.19 KB),Technical,2 contractors have been participated and admitted to Technical evaluation.,Sanjay Mataray,24-Oct-2025 04:31 PM,,02-Dec-2025,"INR 2,798,879.33",30.0,Sanjay Mataray,02-Dec-2025 09:15 PM,AOC19.pdf (148.00 KB),AS PER BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,2,5609649,Sri Prakash Shukla,16-Oct-2025 05:09 PM,Accepted-AOC,L1,02-Dec-2025 09:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
