Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",2025_UPIDC_1080143_4,11/EE/2025-26,Repairing of Cattle Ghat at Km. 5.580 of Sikandrabad Dy.,1.0,5599602.0,M/S SHIVAM SINGH CONTRACTOR,INR,"523,610.5",1,5595204,M/S BUNESH CHOUDHARY,10-Oct-2025 05:24 PM,Rejected-Finance,L-4,10-Nov-2025 01:52 PM,10-Nov-2025,"INR 523,610.5",30.0,Binod kumar Singh,18-Dec-2025 04:39 PM,finsummary.pdf (740.00 KB),AOC,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,25-Oct-2025 04:39 PM,27-Oct-2025 11:00 AM,techsummary_1976544.pdf (740.16 KB),Finance,As per file Attached,Binod kumar Singh,27-Oct-2025 03:52 PM,finance_1976544.pdf,BOQ Comparative Chart,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,10-Nov-2025 01:52 PM,finsummary_1976544.pdf (740.16 KB),Technical,As per file Attached,Binod kumar Singh,14-Oct-2025 07:17 PM,technical_1976544.pdf,AOC,"13,000",Yes,percentage,2.0%,Nil,Nil,06-Oct-2025 10:00 AM,11-Oct-2025 03:00 PM,06-Oct-2025 10:00 AM,11-Oct-2025 02:00 PM,NA ,NA ,06-Oct-2025 10:00 AM,11-Oct-2025 02:00 PM,27-Oct-2025 11:00 AM,EE BDGC BSR,EE BDGC BSR,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,266.0,Nil,Nil,No,Repairing of Cattle Ghat at Km. 5.580 of Sikandrabad Dy.,Repairing of Cattle Ghat at Km. 5.580 of Sikandrabad Dy.,Please refer Tender documents. ,NA ,"6,50,000",Civil Works,NA ,Rate Contract,90.0,30.0,Ghaziabad,201001.0,NA ,NA ,NA ,Bulandshahr,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",11/EE/2025-26,2025_UPIDC_1080143_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5599186,M/S RINKU CONTRACTOR,11-Oct-2025 09:31 AM,Rejected-Finance,L-2,10-Nov-2025 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5599602,M/S SHIVAM SINGH CONTRACTOR,11-Oct-2025 01:14 PM,Accepted-AOC,AOC,18-Dec-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5598325,M/S SHREE JEE CONSTRUCTIONS,10-Oct-2025 02:16 PM,Rejected-Finance,L-3,10-Nov-2025 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5593879,Sangam Digicon,08-Oct-2025 06:33 PM,Rejected-Finance,L-4,10-Nov-2025 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
