Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Panchayati Raj Department||Zila Panchayat Amethi,240/Nivida/ZP/2025-26 Date- 22-07-2025,2025_UPPRD_1064082_102,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,819.0,AMA Zila Panchayat Amethi,Gauriganj Amethi,No,Work No 102 Hansa Devi Mahavidyalay ke Boundrywall ke samne se khet ke bagal se annusuchit basti ki oor eet - soling,Work No 102 Hansa Devi Mahavidyalay ke Boundrywall ke samne se khet ke bagal se annusuchit basti ki oor eet - soling,Please refer Tender documents. ,NA ,"6,93,593",Civil Works - Others,NA ,Tender,90.0,90.0,Amethi,227409.0,NA ,NA ,NA ,Zila Panchayat Amethi,No ,No,"13,872",No,percentage,2.0%,AMA Zila Panchayat Amethi,Gauriganj Amethi,1.0,Fee/PreQual/Technical,.pdf,Technical,11-Aug-2025 12:00 PM,18-Aug-2025 02:30 PM,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,NA ,NA ,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,16-Sep-2025 04:00 PM,Appar Mukhya Adhikari Zila Panchayat Amethi,Zila Panchayat Amethi,AOC,1,5441025,Alok Groups and Construction,17-Aug-2025 11:37 AM,Accepted-AOC,Accepted,17-Dec-2025 04:55 PM,1.0,5441025.0,Alok Groups and Construction,INR,"692,830.552",Technical,Summary,Ram Bachan Ram,12-Sep-2025 04:26 PM,,Panchayati Raj Department||Zila Panchayat Amethi,2025_UPPRD_1064082_102,240/Nivida/ZP/2025-26 Date- 22-07-2025,Work No 102 Hansa Devi Mahavidyalay ke Boundrywall ke samne se khet ke bagal se annusuchit basti ki oor eet - soling,Zp Amethi,Internal,,Ram Bachan Ram,16-Sep-2025 03:54 PM,16-Sep-2025 04:00 PM,techsummary_1940504.pdf (263.66 KB),Zp Amethi,Internal,,Ram Bachan Ram,27-Sep-2025 02:53 PM,finsummary_1940504.pdf (264.70 KB),17-Dec-2025,"INR 692,830.552",90.0,Vasu Krishna,17-Dec-2025 04:55 PM,ffffffffffffff.pdf (193.00 KB),Finance,Summary,Vasu Krishna,17-Sep-2025 04:40 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,AOC,2,5436903,M/S GARG CONSTRUCTION,16-Aug-2025 01:31 PM,Rejected-Finance,L3,27-Sep-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5433729,M/S PIYUSH TRADERS,15-Aug-2025 04:29 PM,Rejected-Finance,L2,27-Sep-2025 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
