Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
CONSTRUCTION OF ADVANCE CIVIL ENGINEERING LAB AT RAJKIYA ENGINEERING COLLEGE DISTT-KANNAUJ (U.P.),CONSTRUCTION OF ADVANCE CIVIL ENGINEERING LAB AT RAJKIYA ENGINEERING COLLEGE DISTT-KANNAUJ (U.P.),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,730.0,"RAJKIE ENGINEERING COLLEGE, KANNAUJ",209732.0,NA ,NA ,NA ,AGRA,No ,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,117/E-TENDER/UPRNSS/2025-26,2025_UPRNS_1076313_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,BG - Bank Guarantee,"7,55,100",No,fixed,,EE,FARRUKHABAD,"8,850",EE,FARRUKHABAD,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA",23-Sep-2025 11:30 AM,09-Oct-2025 10:00 AM,23-Sep-2025 11:30 AM,08-Oct-2025 05:00 PM,NA ,NA ,23-Sep-2025 11:30 AM,08-Oct-2025 05:00 PM,16-Oct-2025 03:30 PM,AOC,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,16-Oct-2025 03:19 PM,16-Oct-2025 03:30 PM,techsummary_1966040.pdf (296.14 KB),Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,18-Oct-2025 12:17 PM,finance_1966040.pdf,BOQ Comparative Chart,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,18-Oct-2025 12:31 PM,finsummary_1966040.pdf (296.14 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,16-Oct-2025 03:18 PM,technical_1966040.pdf,1,5592597,KHUSHI CONSTRUCTION AND SUPPLIER,08-Oct-2025 12:17 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,18-Oct-2025 12:31 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2025_UPRNS_1076313_1,117/E-TENDER/UPRNSS/2025-26,CONSTRUCTION OF ADVANCE CIVIL ENGINEERING LAB AT RAJKIYA ENGINEERING COLLEGE DISTT-KANNAUJ (U.P.),1.0,5592921.0,M/S SHISHU PRATAP SINGH CONTRACTOR,INR,"37,714,248",10-Dec-2025,"INR 37,714,248",730.0,NAGENDRA YADAV,29-Dec-2025 02:58 PM,117.pdf (175.00 KB),QUOTED AMOUNT LOWER THEN OTHER BIDER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5592921,M/S SHISHU PRATAP SINGH CONTRACTOR,08-Oct-2025 01:37 PM,Accepted-AOC,QUOTED AMOUNT LOWER THEN OTHER BIDER,29-Dec-2025 02:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5589565,SHRI BANKEY BIHARI TRADER,07-Oct-2025 08:17 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,AOC
