Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
02-Dec-2025,"INR 31,298,377.16",270.0,bhanu pratap singh,11-Dec-2025 03:57 PM,03AocLot05.pdf (281.00 KB),AOC,1,5650311,LEELAWATI CONTRACTS PRIVATE LIMITED,03-Nov-2025 09:36 PM,Rejected-Technical,Found Ineligible,10-Nov-2025 05:03 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow",2025_UPIDC_1086737_5,03/SE-VII/2025-26,AS PER TENDER NOTICE-03 LOT 05,1.0,5649206.0,SHREEASHOK,INR,"31,298,377.16",Finance,Summary Uploaded,bhanu pratap singh,14-Nov-2025 01:22 PM,finance_1993017.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,bhanu pratap singh,10-Nov-2025 05:03 PM,13-Nov-2025 05:30 PM,techsummary_1993017.pdf (286.34 KB),Technical,Summary Uploaded,bhanu pratap singh,10-Nov-2025 05:00 PM,technical_1993017.pdf,Superintending Engineer,Internal,,bhanu pratap singh,14-Nov-2025 01:25 PM,finsummary_1993017.pdf (178.83 KB),AOC,AS PER TENDER NOTICE-03 LOT 05,AS PER TENDER NOTICE-03 LOT 05,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,270.0,Lucknow,226001.0,Lucknow ,"Office of Superintending Engineer, VII Circle Irrigation Works, Sarojni Naidu Marg, Lucknow. ",30-Oct-2025 01:00 PM ,Lucknow,No ,No,30-Oct-2025 10:00 AM,04-Nov-2025 03:00 PM,30-Oct-2025 10:00 AM,04-Nov-2025 10:00 AM,NA ,NA ,30-Oct-2025 10:00 AM,04-Nov-2025 10:00 AM,13-Nov-2025 05:30 PM,"3,302",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow",03/SE-VII/2025-26,2025_UPIDC_1086737_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,"Office of Superintending Engineer, VII Circle Irrigation Works, Sarojni Naidu Marg, Lucknow.",1.0,SBI Bank,"6,61,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,2,5649289,M/S SRI RAM TRADERS,03-Nov-2025 03:19 PM,Rejected-Finance,L2,14-Nov-2025 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,3,5649206,SHREEASHOK,03-Nov-2025 09:07 PM,Accepted-AOC,L1,11-Dec-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
