Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
03-Dec-2025,"INR 685,893.13",21.0,Mahendra Kumar,09-Dec-2025 02:42 PM,Committee.pdf (177.00 KB),BOQ,Technical,Technical bid open by committee,Mahendra Kumar,26-Nov-2025 12:50 PM,technical_2007064.pdf,Mahendra Kumar,Internal,1 Mahendra Kumar 2 Durn Kumar 3 Surya Mani Singh 4 Pankaj Gautam,Mahendra Kumar,29-Nov-2025 11:32 AM,29-Nov-2025 12:00 PM,techsummary_2007064.pdf (177.01 KB),Mahendra Kumar,Internal,1 Mahendra Kumar 2 Durn Kumar 3 Surya Mani Singh 4 Pankaj Gautam,Mahendra Kumar,03-Dec-2025 06:07 PM,finsummary_2007064.pdf (177.01 KB),Finance,Financial Bid open by committee,Mahendra Kumar,29-Nov-2025 12:48 PM,finance_2007064.pdf,BOQ Comparative Chart,1.0,5703582.0,Krishna Kumar Singh,INR,"685,893.13","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||KDLGC, kanpur",2025_UPIDC_1080412_64,02/EE/2025-26,Silt Clearance from Km 0.000 to 15.000 of Taktauli Dy.,1,5703582,Krishna Kumar Singh,26-Nov-2025 11:17 AM,Accepted-AOC,L1,09-Dec-2025 02:42 PM,AOC,Silt Clearance from Km 0.000 to 15.000 of Taktauli Dy.,Silt Clearance,Please refer Tender documents. ,NA ,"10,17,000",Civil Works - Canal,NA ,Tender,90.0,21.0,Kanpur,208004.0,NA ,NA ,NA ,Office of the E.E.K.D.L.G.C. Kanpur,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,20-Nov-2025 12:00 PM,26-Nov-2025 12:00 PM,20-Nov-2025 12:00 PM,26-Nov-2025 12:00 PM,NA ,NA ,20-Nov-2025 12:00 PM,26-Nov-2025 12:00 PM,29-Nov-2025 12:00 PM,766.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||KDLGC, kanpur",02/EE/2025-26,2025_UPIDC_1080412_64,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Date,Date,,1.0,SBI Bank,"1,02,000",No,fixed,,Nil,Nil,Executive Engineer,Office of the Executive Engineer Kanpur Division Lower Ganga Canal Kanpur 208004,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5700920,M/s khushi enterprises,25-Nov-2025 09:00 AM,Rejected-Finance,L2,03-Dec-2025 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
