S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5599775.0,M/S MAA VAISHNO CONSTRUCTION,INR,"522,199.95","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||ID, kanpur",2025_UPIDC_1080758_9,03/EE/2025-26,Lot-10,1,5601874,ANSHU TRADERS,12-Oct-2025 08:07 PM,Rejected-Finance,4th lowest,01-Nov-2025 02:10 PM,08-Dec-2025,"INR 522,199.95",30.0,SURENDER KUMAR KAUSHAL,08-Dec-2025 04:26 PM,lot10_ag13.pdf (333.00 KB),AOC,Surendra Kumar Kaushal,Internal,Three,SURENDER KUMAR KAUSHAL,01-Nov-2025 02:10 PM,finsummary_1977921.pdf (36.71 KB),Technical,Technical Result,SURENDER KUMAR KAUSHAL,27-Oct-2025 11:42 AM,technical_1977921.pdf,Surendra Kumar Kaushal,Internal,Three,SURENDER KUMAR KAUSHAL,27-Oct-2025 03:16 PM,27-Oct-2025 04:00 PM,techsummary_1977921.pdf (36.71 KB),Finance,Financial Result,SURENDER KUMAR KAUSHAL,31-Oct-2025 05:19 PM,finance_1977921.pdf,BOQ Comparative Chart,AOC,1.0,SBI Bank,"78,000",No,fixed,,Nil,Nil,Lot-10,Patching/Repairing of Canal Service Road from Km 1.900 to 4.400 of Bansai Minor,as per tender condition ,NA ,"7,71,000",Civil Works,NA ,Tender,90.0,30.0,Irrigation Division Kanpur Dehat,209311.0,NA ,NA ,NA ,Irrigation Division Kanpur Dehat,No ,No,856.0,Nil,Nil,No,Executive Engineer,Office of the Executive Engineer Irrigation Division Kanpur Dehat,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||ID, kanpur",03/EE/2025-26,2025_UPIDC_1080758_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-Oct-2025 11:00 AM,13-Oct-2025 12:00 PM,08-Oct-2025 11:00 AM,13-Oct-2025 11:30 AM,NA ,NA ,08-Oct-2025 11:00 AM,13-Oct-2025 11:30 AM,27-Oct-2025 04:00 PM,AOC
,,,,,,,,,2,5599483,M/S GARIB NAWAJ AND COMPANY,12-Oct-2025 03:58 PM,Rejected-Finance,5th lowest,01-Nov-2025 02:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5600186,M/s. Jay Enterprises,12-Oct-2025 11:25 PM,Rejected-Finance,3rd lowest,01-Nov-2025 02:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5599775,M/S MAA VAISHNO CONSTRUCTION,11-Oct-2025 02:24 PM,Accepted-AOC,FD Submitted,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5601252,SHRI CONSTRUCTION,12-Oct-2025 04:50 PM,Rejected-Finance,2nd lowest,01-Nov-2025 02:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
