EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"13,16,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Tender notice,29-Sep-2025 09:00 AM,06-Oct-2025 12:30 PM,29-Sep-2025 11:00 AM,06-Oct-2025 12:00 PM,NA ,NA ,29-Sep-2025 11:00 AM,06-Oct-2025 12:00 PM,15-Oct-2025 12:30 PM,Chief Engineer World Bank (EAP) PWD HQ-Jhansi||SE PMGSY CIRCLE PWD KANPUR,1724/167C-PMGSYC/2025-26 DT. 01.09.2025,2025_WBEAP_1078021_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction work of office building of UP Vigilance Establishment Kanpur Sector.,Construction work of office building of UP Vigilance Establishment Kanpur Sector.,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,120.0,365.0,KANPUR NAGAR,208001.0,"Superintending Engineer, PMGSY Circle, PWD, 15/5  ","Office of the Superintending Engineer, PMGSY Circle, PWD, 15/5 Civil Lines, Kanpur ",04-Oct-2025 12:00 PM ,"Superintending Engineer, PMGSY Circle, PWD, 15/5",No ,No,1.0,SBI Bank,"7,714",Nil,Nil,Yes,Superintending Engineer,"PMGSY Circle, PWD, 15/5 Civil Lines, Kanpur",AOC,ArvindKumar,Internal,ArvindKumarRakeshYadavShubhenduSingh,Arvind Kumar,15-Oct-2025 11:25 AM,15-Oct-2025 12:30 PM,techsummary_1970457.pdf (601.20 KB),Finance,Financial Opening,Arvind Kumar,15-Oct-2025 03:11 PM,finance_1970457.pdf,BOQ Comparative Chart,ArvindKumar,Internal,ArvindKumar,Arvind Kumar,06-Dec-2025 04:02 PM,finsummary_1970457.pdf (205.94 KB),Technical,technical Open,Arvind Kumar,06-Oct-2025 01:27 PM,technical_1970457.pdf,Chief Engineer World Bank (EAP) PWD HQ-Jhansi||SE PMGSY CIRCLE PWD KANPUR,2025_WBEAP_1078021_1,1724/167C-PMGSYC/2025-26 DT. 01.09.2025,Construction work of office building of UP Vigilance Establishment Kanpur Sector.,1,5580138,Kanpur Shutter Company,INR,"65,405,154",1,5580138,Kanpur Shutter Company,03-Oct-2025 06:38 PM,Accepted-AOC,L-1,15-Dec-2025 11:39 AM,15-Dec-2025,"INR 65,800,000",365.0,Arvind Kumar,15-Dec-2025 11:39 AM,LAOKANPURSATTER.pdf (551.00 KB),Acceptance,AOC
,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5581919,M/s Subhash Builders,INR,"65,698,098",2,5581919,M/s Subhash Builders,04-Oct-2025 06:58 PM,Accepted-AOC,L-2,15-Dec-2025 11:39 AM,,,,,,,,AOC
