Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EE ID UNNAO,NEAR SP OFFICE CIVIL LINES UNNAO,18-Oct-2025 10:00 AM,30-Oct-2025 11:00 AM,18-Oct-2025 10:00 AM,29-Oct-2025 04:00 PM,NA ,NA ,18-Oct-2025 10:00 AM,29-Oct-2025 04:00 PM,06-Nov-2025 04:00 PM,SILT CLEARANCE/SCRAPPING OF HASANGANJ DY KM 0.00 TO 18.900,SILT CLEARANCE/SCRAPPING OF HASANGANJ DY KM 0.00 TO 18.900,Please refer Tender documents. ,NA ,"6,47,000",Civil Works - Canal,NA ,Tender,90.0,30.0,UNNAO,209801.0,NA ,NA ,NA ,EE ID UNNAO,No ,No,1.0,EXTENSION 1,Date,,"12,940",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,FEE/ TECHNICAL DOCUMENT,"1,000",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||ID, unnao",01/EE/2025-2026,2025_UPIDC_1083624_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,Technical,admitted,Deepak Yadav,06-Nov-2025 01:43 PM,technical_1985772.pdf,DEEPAK YADAV,Internal,MUKESH VAISH VIVEK SRIVASTAVA,Deepak Yadav,07-Nov-2025 03:18 PM,finsummary_1985772.pdf (488.00 KB),Finance,admitted,Deepak Yadav,07-Nov-2025 01:43 PM,finance_1985772.pdf,BOQ Comparative Chart,DEEPAK YADAV,Internal,MUKESH VAISH VIVEK SRIVASTAVA,Deepak Yadav,06-Nov-2025 03:27 PM,06-Nov-2025 04:00 PM,techsummary_1985772.pdf (471.50 KB),10-Nov-2025,"INR 640,212",30.0,Deepak Yadav,11-Dec-2025 03:25 PM,hasanganj.pdf (415.00 KB),admitted,1,5623226,M/S AMIT KUMAR DIXIT,23-Oct-2025 03:18 PM,Rejected-Finance,L2,07-Nov-2025 03:18 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||ID, unnao",2025_UPIDC_1083624_9,01/EE/2025-2026,SILT CLEARANCE/SCRAPPING OF HASANGANJ DY KM 0.00 TO 18.900,1.0,5629771.0,M/S R.N.CONSTRUCTION,INR,"640,212",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5629771,M/S R.N.CONSTRUCTION,27-Oct-2025 08:56 AM,Accepted-AOC,1,11-Dec-2025 03:24 PM,,,,,,,,,,AOC
