Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Providing and laying interlocking tiles in village Alipura,YEA WC-06","Providing and laying interlocking tiles in village Alipura,YEA WC-06",Please refer Tender documents. ,NA ,"12,16,785",Civil Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,"24,400",No,fixed,,Nil,Nil,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,01-Aug-2025 06:55 PM,13-Aug-2025 11:00 AM,01-Aug-2025 06:55 PM,11-Aug-2025 05:00 PM,NA ,NA ,01-Aug-2025 06:55 PM,11-Aug-2025 05:00 PM,27-Oct-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",1.0,SBI Bank,840.0,Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/394 DT-29/07/2025,2025_YEIDA_1061572_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,EVALUATION,VIKAS KUMAR,18-Nov-2025 03:47 PM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,27-Oct-2025 01:57 PM,27-Oct-2025 04:00 PM,techsummary_1934977.pdf (905.83 KB),Technical,EVALUATION,BHARAM PAL SINGH,27-Oct-2025 01:47 PM,,Committee,Internal,Committee,VIKAS KUMAR,18-Nov-2025 04:08 PM,finsummary_1934977.pdf (217.58 KB),18-Nov-2025,"INR 766,574.99",90.0,VIKAS KUMAR,18-Dec-2025 01:43 PM,aocrd.pdf (9973.00 KB),AOC,1.0,5407042.0,M/s RD INFRA,INR,"766,574.99",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1061572_5,YEA/GM(PROJECT)/2025/394 DT-29/07/2025,"Providing and laying interlocking tiles in village Alipura,YEA WC-06",1,5411327,JAI SHRI KRISHNA CONTRACTOR AND SUPPLIER,08-Aug-2025 12:26 PM,Rejected-Finance,L6,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5417453,KRISHN CONSTRUCTION,11-Aug-2025 12:17 PM,Rejected-Finance,L2,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5401137,M/S PPS CONSTRUCTION,08-Aug-2025 02:43 PM,Rejected-Finance,L5,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5407042,M/s RD INFRA,08-Aug-2025 12:55 PM,Accepted-AOC,L1,18-Dec-2025 01:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5417421,M/S STRONG FOUNDATION ASSOCAITES,11-Aug-2025 12:38 PM,Rejected-Finance,L4,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5418417,M/S SUKHDEV SINGH CONTRACTOR,11-Aug-2025 03:52 PM,Rejected-Finance,L8,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5401340,OM SAI INFRATECH,04-Aug-2025 06:03 PM,Rejected-Finance,L3,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5412009,SHIVAM CONSTRUCTION CO,11-Aug-2025 11:38 AM,Rejected-Finance,L9,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5418751,SHRIJI CONSTRUCTION AND ELECTRICALS,11-Aug-2025 04:15 PM,Rejected-Finance,L7,18-Nov-2025 04:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5417833,Vaishali Infra Solutions,11-Aug-2025 01:19 PM,Rejected-Technical,DISQUALIFIED,27-Oct-2025 01:57 PM,AOC
