Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,2 contractors have been participated and admitted to Technical Evaluation process.,Sanjay Mataray,18-Oct-2025 09:32 AM,,03-Dec-2025,"INR 443,303.4",30.0,Sanjay Mataray,03-Dec-2025 10:11 PM,AOC11.pdf (212.00 KB),AS PER BOQ,SANJAY MATARAY,Internal,BODHAI RAM,Sanjay Mataray,18-Oct-2025 12:08 PM,24-Oct-2025 10:00 AM,techsummary_1974290.pdf (179.19 KB),"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID-2, deoria",2025_UPIDC_1079274_11,01/EE/2025-26 DT. 26-09-2025,Silt clearance and Bed scrapping,1,5604805,ABHYUDAY TRADERS,14-Oct-2025 08:48 AM,Accepted-AOC,L1,03-Dec-2025 10:10 PM,Finance,2 contractors have been participated and admitted to financial evaluation.,Sanjay Mataray,24-Oct-2025 03:25 PM,,BOQ Comparative Chart,SANJAY MATARAY,Internal,BODHAI RAM,Sanjay Mataray,02-Dec-2025 08:38 PM,finsummary_1974290.pdf (179.19 KB),1.0,5604805.0,ABHYUDAY TRADERS,INR,"443,303.4",AOC,"11,000",No,fixed,,Nil,Nil,766.0,Nil,Nil,No,1.0,SBI Bank,EE ID-2 DEORIA,OFFICE OF EE ID-2 DEORIA,1,Fee/PreQual/Technical,.pdf,BID DOCUMENTS,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID-2, deoria",01/EE/2025-26 DT. 26-09-2025,2025_UPIDC_1079274_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Silt clearance and Bed scrapping,silt clearance between km 0.000 to km 10.000 and scraping between Km 10.000 to Km 12.500 on MEDNIPUR DY,AS PER NIT ,NA ,"5,01,287",Civil Works - Canal,NA ,Tender,90.0,30.0,MEDNIPUR DY,274001.0,NA ,NA ,NA ,OFFICE OF EE ID-2 DEORIA,No ,No,06-Oct-2025 10:00 AM,14-Oct-2025 02:00 PM,06-Oct-2025 10:00 AM,14-Oct-2025 12:00 PM,NA ,NA ,06-Oct-2025 10:00 AM,14-Oct-2025 12:00 PM,24-Oct-2025 10:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,5606482,M/s Ayodhya Mishra,14-Oct-2025 11:32 AM,Rejected-Finance,AS PER BOQ,02-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
