Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
01-Dec-2025,"INR 487,378.25",25.0,Ravi Prakash Singh,01-Dec-2025 01:37 PM,100.pdf (196.00 KB),Technical,all bidders are accepted,Ravi Prakash Singh,14-Nov-2025 04:46 PM,technical_1993992.pdf,R P Singh,Internal,Naveen Kumar,Ravi Prakash Singh,14-Nov-2025 05:32 PM,14-Nov-2025 06:00 PM,techsummary_1993992.pdf (1440.06 KB),Finance,all bidders are accepted,Ravi Prakash Singh,29-Nov-2025 03:58 PM,finance_1993992.pdf,BOQ Comparative Chart,R P Singh,Internal,,Ravi Prakash Singh,01-Dec-2025 01:35 PM,finsummary_1993992.pdf (196.26 KB),1.0,5655048.0,V K CONTRACTOR,INR,"487,378.25",1,5656323,chahaldevelopers,06-Nov-2025 10:09 AM,Rejected-Finance,2nd,01-Dec-2025 01:35 PM,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||ID, moradabad",2025_UPIDC_1086963_11,3646/IDMBD/Etender/2025 Dt 16.10.2025,Reconstruction of damaged VRB at Km 3.282 of sunpura minor,AOC,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||ID, moradabad",3646/IDMBD/Etender/2025 Dt 16.10.2025,2025_UPIDC_1086963_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Office of the EE ID Moradabad,Office of the EE ID Moradabad,677.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"13,000",No,fixed,,Nil,Nil,30-Oct-2025 06:00 PM,06-Nov-2025 02:00 PM,30-Oct-2025 06:00 PM,06-Nov-2025 01:00 PM,NA ,NA ,30-Oct-2025 06:00 PM,06-Nov-2025 01:00 PM,14-Nov-2025 06:00 PM,Reconstruction of damaged VRB at Km 3.282 of sunpura minor,Reconstruction of damaged VRB at Km 3.282 of sunpura minor,As per NIT ,NA ,"6,60,000",Civil Works - Canal,NA ,Tender,90.0,25.0,Moradabad,244001.0,NA ,NA ,NA ,As per NIT,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5652691,Kisan Sales Corporation,04-Nov-2025 05:56 PM,Rejected-Technical,Non Responsive,14-Nov-2025 05:32 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5654524,M/S KUNWAR PAL CONTRACTOR,06-Nov-2025 12:28 AM,Rejected-Finance,3rd,01-Dec-2025 01:35 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5651949,M/S MUKESH KUMAR CONTRACTOR,05-Nov-2025 01:44 PM,Rejected-Technical,Non Responsive,14-Nov-2025 05:32 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5656956,S S CONSTRUCTION COMPANY,06-Nov-2025 07:54 AM,Rejected-Technical,Non Responsive,14-Nov-2025 05:32 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5657961,VISHALA CIVIL CONTRACTORS AND MAINTENANCE,06-Nov-2025 12:58 PM,Rejected-Finance,4th,01-Dec-2025 01:35 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5655048,V K CONTRACTOR,05-Nov-2025 03:49 PM,Accepted-AOC,1st Lowest,01-Dec-2025 01:37 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
