S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,"1,016",Nil,Nil,No,Rennovation/Recoatinged Service Road Between Km 57.200 to km 60.035 of Fatehpur Branch.,Rennovation/Recoatinged Service Road Between Km 57.200 to km 60.035 of Fatehpur Branch.,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,15.0,NA ,Fatehpur,212601.0,O/o EE LGC FTP ,O/o EE LGC FTP Nahar Colony ,08-Oct-2025 11:00 AM ,O/o EE LGC FTP,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||FDLGC, fatehpur",01/EE/LGC/FTP/2025-26,2025_UPIDC_1080129_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,400",No,fixed,,Nil,Nil,07-Oct-2025 10:00 AM,13-Oct-2025 02:00 PM,07-Oct-2025 10:00 AM,13-Oct-2025 12:00 PM,NA ,NA ,07-Oct-2025 10:00 AM,13-Oct-2025 12:00 PM,17-Oct-2025 04:50 PM,EE LGC FTP,O/o EE LGC FTP NAHAR Colony,AOC,Mr Sunder lal Verma EE LGC FTP,Internal,"Mr. Anand Dwivedi EE ID FTP., Mr. Nikhil Kumar Shrivastava, AE LGC FTP., Mr Binod Kumar DAO LGC FTP.",SUNDER LAL VERMA,17-Oct-2025 04:39 PM,17-Oct-2025 04:50 PM,techsummary_1976456.pdf (34.37 KB),Finance,Total Four Bids Admitted,SUNDER LAL VERMA,17-Oct-2025 07:06 PM,finance_1976456.pdf,BOQ Comparative Chart,Mr Sunder lal Verma EE LGC FTP,Internal,"Mr Anand Dwivedi EE ID Fatehpur, Mr Nikhil Kumar Srivastava AE LGC Fatehpur, Mr. Binod Kumar DAO LGC Fatehpur",SUNDER LAL VERMA,03-Nov-2025 04:53 PM,finsummary_1976456.pdf (34.37 KB),Technical,Admitted,SUNDER LAL VERMA,14-Oct-2025 04:53 PM,,1,5601933,M/S D.K.ENTERPRISES,12-Oct-2025 07:16 PM,Rejected-Finance,2nd lowest,03-Nov-2025 04:53 PM,1.0,5601421.0,M/S Jaunpur construction,INR,"508,464","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||FDLGC, fatehpur",2025_UPIDC_1080129_5,01/EE/LGC/FTP/2025-26,Rennovation/Recoatinged Service Road Between Km 57.200 to km 60.035 of Fatehpur Branch.,04-Nov-2025,"INR 508,464",15.0,SUNDER LAL VERMA,02-Dec-2025 02:08 PM,22.pdf (3437.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5601421,M/S Jaunpur construction,13-Oct-2025 11:46 AM,Accepted-AOC,L1,02-Dec-2025 02:08 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5602319,M/S Nayancee Construction Co.,13-Oct-2025 10:25 AM,Rejected-Finance,4th lowest,03-Nov-2025 04:53 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5603063,MS PREMCHANDRA,13-Oct-2025 11:22 AM,Rejected-Technical,Bid Capacity not uploaded,17-Oct-2025 04:39 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5599631,M/S SHIVAM CONSTRUCTION AND SUPPLIER,13-Oct-2025 10:05 AM,Rejected-Finance,3rd lowest,03-Nov-2025 04:53 PM,,,,,,,,,,,,,,,,AOC
