Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-I, gorakhpur",01/EE/2025-26,2025_UPIDC_1079102_45,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Saryu Nahar Khand 1 Gorakhpur (,Executive Engineer Saryu Nahar Khand 1 Gorakhpur (U.P.) 273008,1,Fee/PreQual/Technical,.pdf,Document,"7,700",No,fixed,,Nil,Nil,Jungle Clearance from Km. 0.000 to Km. 20.000 of Bansgaon Dy.,Jungle Clearance from Km. 0.000 to Km. 20.000 of Bansgaon Dy.,Please refer Tender documents. ,NA ,"3,84,000",Civil Works - Canal,NA ,Tender,90.0,15.0,Gorakhpur,273001.0,NA ,NA ,NA ,Executive Engineer Saryu Nahar Khand 1 Gorakhpur (,No ,No,664.0,Nil,Nil,No,1.0,SBI Bank,23-Oct-2025 10:00 AM,29-Oct-2025 04:00 PM,23-Oct-2025 10:00 AM,29-Oct-2025 03:00 PM,NA ,NA ,23-Oct-2025 10:00 AM,29-Oct-2025 03:00 PM,06-Nov-2025 03:35 PM,AOC,Finance,attached,Vishwanath Shukla,24-Nov-2025 04:39 PM,finance_1987503.pdf,BOQ Comparative Chart,Vn Shukla EE,Internal,Dinesh Mohan EE,Vishwanath Shukla,24-Nov-2025 04:49 PM,finsummary_1987503.pdf (512.21 KB),1.0,5636667.0,SHANTI ENTERPRISES,INR,"361,054","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-I, gorakhpur",2025_UPIDC_1079102_45,01/EE/2025-26,Jungle Clearance from Km. 0.000 to Km. 20.000 of Bansgaon Dy.,1,5635997,RUDRA ENTERPRISES AND SERVICES PROVIDERS,29-Oct-2025 01:03 PM,Rejected-Finance,Higher,24-Nov-2025 04:49 PM,Vn Shukla EE,Internal,Dinesh Mohan EE,Vishwanath Shukla,06-Nov-2025 03:28 PM,06-Nov-2025 03:35 PM,techsummary_1987503.pdf (512.21 KB),01-Dec-2025,"INR 361,054",15.0,Vishwanath Shukla,21-Dec-2025 05:37 PM,Aoc45.pdf (287.00 KB),Technical,Attached,Vishwanath Shukla,06-Nov-2025 03:22 PM,technical_1987503.pdf,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5636667,SHANTI ENTERPRISES,29-Oct-2025 12:14 PM,Accepted-AOC,L1,21-Dec-2025 05:37 PM,,,,,,,,,,,,,,,,,,,AOC
