Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Haridwar||ID, bijnore",02/EE/2025-26,2025_UPIDC_1082040_14,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,14-Oct-2025 10:00 AM,21-Oct-2025 11:00 AM,14-Oct-2025 10:00 AM,20-Oct-2025 05:00 PM,NA ,NA ,14-Oct-2025 10:00 AM,20-Oct-2025 05:00 PM,25-Oct-2025 04:00 PM,854.0,Nil,Nil,No,"32,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Document( Contractor),Silt Clearance/Scrapping of Bakaina Dy. From Km. 0.000 to Km. 32.700 for rabi 1433 Crop in Distt. Bijnor/Amroha (Lot-14),Silt Clearance/Scrapping of Bakaina Dy. From Km. 0.000 to Km. 32.700 for rabi 1433 Crop in Distt. Bijnor/Amroha,Please refer Tender documents. ,NA ,"16,12,000",Civil Works - Canal,NA ,Tender,90.0,25.0,Bijnor,246701.0,NA ,NA ,NA ,I.D. Bijnor,No ,No,EE,I.D. Bijnor,1.0,SBI Bank,AOC,1,5619962,M/S SHRSDDHA CONSTRUCTION,20-Oct-2025 11:02 AM,Rejected-AOC,L2,04-Dec-2025 01:14 PM,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Haridwar||ID, bijnore",2025_UPIDC_1082040_14,02/EE/2025-26,Silt Clearance/Scrapping of Bakaina Dy. From Km. 0.000 to Km. 32.700 for rabi 1433 Crop in Distt. Bijnor/Amroha (Lot-14),1.0,5615105.0,NAUSHAD,INR,"1,239,803.85",Vikas Agrawal,Internal,as per uploaded document,VIKAS AGRAWAL,27-Oct-2025 01:22 PM,finsummary_1982311.pdf (3998.57 KB),Finance,three bids received are admitted,VIKAS AGRAWAL,25-Oct-2025 05:49 PM,,BOQ Comparative Chart,vikas agrawal,Internal,as per uploaded document,VIKAS AGRAWAL,25-Oct-2025 03:50 AM,25-Oct-2025 04:00 PM,techsummary_1982311.pdf (3998.57 KB),Technical,All bids submitted,VIKAS AGRAWAL,21-Oct-2025 04:54 PM,,27-Oct-2025,"INR 1,239,803.85",25.0,VIKAS AGRAWAL,04-Dec-2025 01:14 PM,AocLot14bakaina.pdf (793.00 KB),Awarded to NAUSHAD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5615105,NAUSHAD,17-Oct-2025 06:04 PM,Accepted-AOC,L1,04-Dec-2025 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5619206,SHEESHPAL SINGH CONTRACTOR,19-Oct-2025 07:11 PM,Rejected-AOC,L3,04-Dec-2025 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
