Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical bid,927.0,Nil,Nil,No,13-Oct-2025 12:00 PM,21-Oct-2025 02:00 PM,13-Oct-2025 12:00 PM,21-Oct-2025 12:00 PM,NA ,NA ,13-Oct-2025 12:00 PM,21-Oct-2025 12:00 PM,25-Oct-2025 10:55 AM,"10,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||ID, kaushambhi",01/EE/2025-26,2025_UPIDC_1082163_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Id kaushambi,Office of EE Id kaushambi,1.0,SBI Bank,Patch repairing of Ashada Mr. from Km. 2.000 to 4.000,Patch repairing of Ashada Mr. from Km. 2.000 to 4.000,Technical and Financial ,NA ,"4,93,000",Civil Works - Roads,NA ,Tender,90.0,15.0,Kaushambi,212207.0,Manjhanpur ,Office of EE Id kaushambi ,16-Oct-2025 11:00 AM ,Manjhanpur,No ,No,AOC,Finance,Two Bids Admitted,SUNDER LAL VERMA,25-Oct-2025 02:56 PM,,BOQ Comparative Chart,Sri sunder lal Verma EE ID Kaushambi,Internal,"Sunder lal Verma EE ID Kaushambi, Anand Divedi EE ID Fatehpur, Surendra Kumar Kaushal EE ID Kanpue Dehat, Vijay Mishra DAO ID Kaushambi",sunder lal verma,24-Oct-2025 08:54 PM,25-Oct-2025 10:55 AM,techsummary_1981639.pdf (29.14 KB),Technical,Admitted,SUNDER LAL VERMA,24-Oct-2025 12:02 PM,,Sri sunder lal Verma EE ID Kaushambi,Internal,"Anand Divedi EE ID Fatehpur, Surendra Kumar Kaushal EE ID Kanpue Dehat, Vijay Mishra DAO ID Kaushambi",sunder lal verma,18-May-2026 07:02 PM,finsummary_1981639.pdf (29.14 KB),18-Nov-2025,"INR 295,134",15.0,sunder lal verma,25-Dec-2025 12:03 PM,Lot6.pdf (410.00 KB),1,5620233,DIWAKAR SINGH CONTRACTOR,20-Oct-2025 01:29 PM,Accepted-AOC,L1,25-Dec-2025 12:03 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||ID, kaushambhi",2025_UPIDC_1082163_6,01/EE/2025-26,Patch repairing of Ashada Mr. from Km. 2.000 to 4.000,1.0,5620233.0,DIWAKAR SINGH CONTRACTOR,INR,"295,134",AOC
2,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5620784,M/S Pushpa singh,21-Oct-2025 09:54 AM,Rejected-Finance,II Lowest,18-Nov-2025 08:46 PM,,,,,,,,,,AOC
