EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"8,200",No,fixed,,Nil,Nil,EE LGC FTP,O/o EE LGC FTP Nahar Colony,1,Fee/PreQual/Technical,.pdf,Technical Document,927.0,Nil,Nil,No,07-Oct-2025 10:00 AM,13-Oct-2025 02:00 PM,07-Oct-2025 10:00 AM,13-Oct-2025 12:00 PM,NA ,NA ,07-Oct-2025 10:00 AM,13-Oct-2025 12:00 PM,17-Oct-2025 04:45 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||FDLGC, fatehpur",01/EE/LGC/FTP/2025-26,2025_UPIDC_1080129_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Rennovation/Recoating ofService Road Between Km 36.408 to km 37.823 of Fatehpur branch.,Rennovation/Recoating ofService Road Between Km 36.408 to km 37.823 of Fatehpur branch.,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,15.0,NA ,Fatehpur,212601.0,O/o EE LGC FTP ,O/o EE LGC FTP Nahar Colony ,08-Oct-2025 11:00 AM ,O/o EE LGC FTP,No ,No,1.0,SBI Bank,AOC,Mr Sunder lal Verma EE LGC FTP,Internal,"Mr. Anand Dwivedi EE ID FTP., Mr. Nikhil Kumar Shrivastava, AE LGC FTP., Mr Binod Kumar DAO LGC FTP.",SUNDER LAL VERMA,17-Oct-2025 04:16 PM,17-Oct-2025 04:45 PM,techsummary_1976430.pdf (34.37 KB),Finance,Total Two Bids Admitted,SUNDER LAL VERMA,17-Oct-2025 07:03 PM,finance_1976430.pdf,BOQ Comparative Chart,Mr Sunder lal Verma EE LGC FTP,Internal,"Mr Anand Dwivedi EE ID Fatehpur, Mr Nikhil Kumar Srivastava AE LGC Fatehpur, Mr. Binod Kumar DAO LGC Fatehpur",SUNDER LAL VERMA,03-Nov-2025 04:48 PM,finsummary_1976430.pdf (34.37 KB),Technical,Admitted,SUNDER LAL VERMA,14-Oct-2025 04:51 PM,,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Kanpur||FDLGC, fatehpur",2025_UPIDC_1080129_4,01/EE/LGC/FTP/2025-26,Rennovation/Recoating ofService Road Between Km 36.408 to km 37.823 of Fatehpur branch.,1.0,5601939.0,M/S D.K.ENTERPRISES,INR,"272,738",1,5601939,M/S D.K.ENTERPRISES,12-Oct-2025 07:19 PM,Accepted-AOC,1st Lowest,05-Dec-2025 04:02 PM,03-Nov-2025,"INR 272,738",15.0,SUNDER LAL VERMA,05-Dec-2025 04:02 PM,8.pdf (3192.00 KB),AOC
,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5602317,M/S Nayancee Construction Co.,13-Oct-2025 10:24 AM,Rejected-Finance,2nd Lowest,03-Nov-2025 04:48 PM,,,,,,,AOC
