S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,BG - Bank Guarantee,"1,180","Executive Engineer, Cont. Divi.E/M), UP Jal Nigam",Prayagraj,No,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Allahabad)||SE, Yantrik Circle, Allahabad||PM, Ganga Pollution Control Unit (II) E-M, Alld",836/NIVIDA / 103 DATED 02-12-2025,2025_UPJNM_1097924_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,"Operation of Electrical and Mechanical equipment including removal and disposal of choking materials garbage etc. at 12 MLD Morigate (old) sewage pumping station including associated Tapings, Prayagraj","Operation of Electrical and Mechanical equipment including removal and disposal of choking materials garbage etc. at 12 MLD Morigate (old) sewage pumping station including associated Tapings, Prayagraj",As per tender document ,NA ,,Miscellaneous Services,NA ,Tender,120.0,90.0,office of EE. cont. Divi. (E/M)UPJN (U) Prayagraj,211007.0,NA ,NA ,NA ,office of EE. cont. Divi. (E/M)UPJN (U) Prayagraj,No ,No,"7,690",No,fixed,,"Executive Engineer, Cont. Divi.E/M), UP Jal Nigam",Prayagraj,1.0,Fee/PreQual/Technical,.pdf,Technical Document,10-Dec-2025 09:00 AM,17-Dec-2025 02:15 PM,10-Dec-2025 09:00 AM,16-Dec-2025 05:00 PM,10-Dec-2025 09:00 AM ,16-Dec-2025 03:00 PM ,10-Dec-2025 09:00 AM,16-Dec-2025 05:00 PM,24-Dec-2025 02:30 PM,Executive Engineer,office of Executive Engineer Construction Division(E/M) U.P. Jal Nigam (Urban) Prayagraj,AOC,Finance,Three bids admitted for Financial bid opening of tender,SAURABH KUMAR,24-Dec-2025 03:28 PM,,BOQ Comparative Chart,Exeuctive Engineer,Internal,"Assistant Engineer (EM), Assistant Engineer (Civil), Accountant and Computer",SAURABH KUMAR,23-Dec-2025 05:31 PM,24-Dec-2025 02:30 PM,techsummary_2021884.pdf (469.06 KB),Technical,Three bid admitted for Technical bid opening of tender,SAURABH KUMAR,17-Dec-2025 04:13 PM,,Exeuctive Engineer,Internal,"Assistant Engineer (E/M),Assistant Engineer(Civil) , Accountant and Computer",SAURABH KUMAR,31-Dec-2025 07:32 PM,finsummary_2021884.pdf (223.91 KB),01-Jan-2026,"INR 384,280",90.0,SAURABH KUMAR,31-Dec-2025 08:04 PM,orderMoriold.pdf (646.00 KB),AOC,1,5740492,chaudhary engineering works,12-Dec-2025 05:07 PM,Rejected-AOC,L2,31-Dec-2025 08:04 PM,1.0,5748167.0,SHABNAM ENTERPRISES,INR,"374,673","U P Jal Nigam (HQ), Lucknow||Chief Engineer (Allahabad)||SE, Yantrik Circle, Allahabad||PM, Ganga Pollution Control Unit (II) E-M, Alld",2025_UPJNM_1097924_1,836/NIVIDA / 103 DATED 02-12-2025,"Operation of Electrical and Mechanical equipment including removal and disposal of choking materials garbage etc. at 12 MLD Morigate (old) sewage pumping station including associated Tapings, Prayagraj",AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5748167,SHABNAM ENTERPRISES,15-Dec-2025 12:43 PM,Accepted-AOC,L1,31-Dec-2025 08:04 PM,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5748419,SHIFA ENTERPRISES,15-Dec-2025 01:39 PM,Rejected-AOC,L3,31-Dec-2025 08:04 PM,,,,,,,,,,AOC
