Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,2025_UPIDC_1081925_6,03/EE/2025-26,Restoration of Service Road of Narol Mr from Km. 0.000 to Km. 1.400,1.0,5648730.0,M/s OMVEER SINGH CONTRACTOR,INR,"1,547,454",1,5650170,M/s CHANCHAL ASSOCIATES,04-Nov-2025 12:37 PM,Rejected-AOC,L2,04-Dec-2025 10:42 AM,24-Nov-2025,"INR 1,547,454",30.0,NEERAJ KUMAR SINGH,04-Dec-2025 10:42 AM,Naraul.pdf (256.00 KB),Refer Agreement Document,Neeraj Kumar Singh,Internal,"Neeraj Kumar Singh, Binod Kumar Singh, Naveen Kumar",NEERAJ KUMAR SINGH,06-Nov-2025 04:11 PM,finsummary_1991752.pdf (200.02 KB),Technical,Admitted,NEERAJ KUMAR SINGH,04-Nov-2025 05:49 PM,,Neeraj Kumar Singh,Internal,"Neeraj Kumar Singh, Binod Kumar Singh, Naveen Kumar",NEERAJ KUMAR SINGH,06-Nov-2025 10:20 AM,06-Nov-2025 11:00 AM,techsummary_1991752.pdf (596.02 KB),Finance,Admitted,NEERAJ KUMAR SINGH,06-Nov-2025 03:35 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Technical,"2,18,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Excutive Engineer,"Lower Division Agra Canal, Agra",Restoration of Service Road of Narol Mr from Km. 0.000 to Km. 1.400,Restoration of Service Road of Narol Mr from Km. 0.000 to Km. 1.400,Please Refer Tender Document ,NA ,"21,82,000",Civil Works - Canal,NA ,Tender,90.0,30.0,AGRA,282001.0,NA ,NA ,NA ,Agra,No ,No,28-Oct-2025 05:00 PM,04-Nov-2025 03:00 PM,28-Oct-2025 06:00 PM,04-Nov-2025 02:00 PM,NA ,NA ,28-Oct-2025 06:00 PM,04-Nov-2025 02:00 PM,06-Nov-2025 11:00 AM,354.0,Nil,Nil,No,1.0,Time Extension,Date,,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,03/EE/2025-26,2025_UPIDC_1081925_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5648730,M/s OMVEER SINGH CONTRACTOR,03-Nov-2025 12:18 PM,Accepted-AOC,L1,04-Dec-2025 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5647973,M/s R. S. Contractor & Suppliers,04-Nov-2025 11:54 AM,Rejected-Finance,L3,06-Nov-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
