S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1,DD - Demand Draft,"2,426",AMA Zila Panchayat Amethi,Gauriganj Amethi,No,Appar Mukhya Adhikari Zila Panchayat Amethi,Zila Panchayat Amethi,Panchayati Raj Department||Zila Panchayat Amethi,240/Nivida/ZP/2025-26 Date- 22-07-2025,2025_UPPRD_1064082_38,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"41,118",No,percentage,2.0%,AMA Zila Panchayat Amethi,Gauriganj Amethi,Work No 38 Gramsabha Eksara shahgarh - Chilbili sampark marg se saraiya Eksara tak C.C.,Work No 38 Gramsabha Eksara shahgarh - Chilbili sampark marg se saraiya Eksara tak C.C.,Please refer Tender documents. ,NA ,"20,55,893",Civil Works - Others,NA ,Tender,90.0,90.0,Amethi,227409.0,NA ,NA ,NA ,Zila Panchayat Amethi,No ,No,11-Aug-2025 12:00 PM,18-Aug-2025 02:30 PM,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,NA ,NA ,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,17-Sep-2025 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical,AOC,Zp Amethi,Internal,,Vasu Krishna,29-Sep-2025 03:59 PM,finsummary_1939327.pdf (483.17 KB),Finance,Summary,Vasu Krishna,17-Sep-2025 02:14 PM,,BOQ Comparative Chart,1.0,5441643.0,M/S MAA SHARDA ENTERPRSIS,INR,"2,052,603.182",Panchayati Raj Department||Zila Panchayat Amethi,2025_UPPRD_1064082_38,240/Nivida/ZP/2025-26 Date- 22-07-2025,Work No 38 Gramsabha Eksara shahgarh - Chilbili sampark marg se saraiya Eksara tak C.C.,1,5441643,M/S MAA SHARDA ENTERPRSIS,17-Aug-2025 01:52 PM,Accepted-AOC,Accepted,15-Dec-2025 02:34 PM,Zp Amethi,Internal,,Vasu Krishna,17-Sep-2025 11:43 AM,17-Sep-2025 12:00 PM,techsummary_1939327.pdf (337.32 KB),15-Dec-2025,"INR 2,052,603.182",90.0,Vasu Krishna,15-Dec-2025 02:34 PM,ffffffffffffff.pdf (193.00 KB),Technical,Summary,Ram Bachan Ram,12-Sep-2025 03:51 PM,,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,2,5441209,M/S MANSHA RAM TRIPATHI CONTR.,17-Aug-2025 01:10 PM,Rejected-Finance,L3,29-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5437454,VAIBHAO TRADING COMPANY,16-Aug-2025 03:47 PM,Rejected-Finance,L2,29-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,AOC
