Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
28-Nov-2025 09:00 AM,05-Dec-2025 03:00 PM,28-Nov-2025 09:00 AM,05-Dec-2025 12:00 PM,NA ,NA ,28-Nov-2025 09:00 AM,05-Dec-2025 12:00 PM,11-Dec-2025 11:00 AM,1.0,SBI Bank,"34,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",12/EE/2025-26,2025_UPIDC_1094344_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,CONSTRUCTION OF Boundry wall,CONSTRUCTION OF Boundry wall,Please refer Tender documents. ,NA ,"17,00,000",Civil Works,NA ,Tender,90.0,60.0,U.M.B.D.G.C. KHURJA,203131.0,NA ,NA ,NA ,U.M.B.D.G.C. KHURJA,No ,No,EXECUTIVE ENGINEER,U.M.B.D.G.C. KHURJA,766.0,Nil,Nil,No,AOC,NEERAJKUMARTYAGI,Internal,NEERAJKUMARTYAGI CHANDRAMAULI DWIVEDI,NEERAJ TYAGI,10-Dec-2025 12:04 PM,11-Dec-2025 11:00 AM,techsummary_2012177.pdf (508.77 KB),Finance,FINANCIAL REPORT,NEERAJ TYAGI,11-Dec-2025 01:30 PM,finance_2012177.pdf,BOQ Comparative Chart,NEERAJKUMARTYAGI,Internal,NEERAJKUMARTYAGI CHANDRAMAULI DWIVEDI,NEERAJ TYAGI,11-Dec-2025 04:15 PM,finsummary_2012177.pdf (197.68 KB),Technical,TECHNICAL REPORT,NEERAJ TYAGI,10-Dec-2025 11:11 AM,technical_2012177.pdf,1,5719798,ARTIST BRO,04-Dec-2025 02:06 AM,Rejected-Finance,8,11-Dec-2025 04:15 PM,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",2025_UPIDC_1094344_5,12/EE/2025-26,CONSTRUCTION OF Boundry wall,1.0,5720793.0,NARENDRA KUMAR SHARMA,INR,"996,005",22-Dec-2025,"INR 996,005",60.0,NEERAJ TYAGI,23-Dec-2025 05:10 PM,86.pdf (824.00 KB),DATE OF START 22.12.2025,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5721226,DEVENDRA KUMAR SHARMA,05-Dec-2025 10:31 AM,Rejected-Finance,5,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5724246,GARGI CONSTRUCTION,05-Dec-2025 10:41 AM,Rejected-Finance,6,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5715216,Mahesh Chandra Sharma,04-Dec-2025 09:47 AM,Rejected-Finance,2,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5721509,M/S PRADEEP ASSOCIATES,04-Dec-2025 03:09 PM,Rejected-Finance,4,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5716815,M/S RINKU CONTRACTOR,04-Dec-2025 10:23 AM,Rejected-Finance,11,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5721447,M/S SHREE JEE CONSTRUCTIONS,04-Dec-2025 07:39 PM,Rejected-Finance,9,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5720793,NARENDRA KUMAR SHARMA,04-Dec-2025 01:02 PM,Accepted-AOC,ACCEPT,23-Dec-2025 05:10 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5722909,Rajesh Kumar Sharma,04-Dec-2025 09:52 PM,Rejected-Finance,10,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5720871,SHIV GANGA INFRATECH,05-Dec-2025 11:06 AM,Rejected-Finance,7,11-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,AOC
