S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,589.0,Nil,Nil,No,"13,800",Yes,fixed,,Nil,Nil,Silt Clearance/Scraping work of Adamatara Mr. (Between km 0.00 to 5.540),Silt Clearance/Scraping work of Adamatara Mr. (Between km 0.00 to 5.540),Please refer Tender documents. ,NA ,"1,38,000",Civil Works - Canal,NA ,Tender,90.0,20.0,Tulsipur Balrampur,271210.0,NA ,NA ,NA ,Chittaurhgarh Bandh Nirman Khand Balrampur,No ,No,07-Nov-2025 10:00 AM,14-Nov-2025 03:00 PM,07-Nov-2025 10:00 AM,14-Nov-2025 02:00 PM,NA ,NA ,07-Nov-2025 10:00 AM,14-Nov-2025 02:00 PM,19-Nov-2025 10:30 AM,1,Fee/PreQual/Technical,.pdf,Tendernotice,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||EE Chitaurgarh Dam Construction Division Balrampur",01/EE/2025-26,2025_UPIDC_1083668_62,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Chittaurhgarh Bandh Nirman Khand Balrampur Saryu Nahar Colony Balrampur,AOC,1.0,5661963.0,M/S RAM KRISHAN MISHRA CONTRECTOR,INR,"135,082",Finance,Financial Summary Report,akhilesh kumar singh,05-Dec-2025 07:23 PM,finance_1998285.pdf,BOQ Comparative Chart,AKHILESH KUMAR SINGH,Internal,,akhilesh kumar singh,05-Dec-2025 08:06 PM,finsummary_1998285.pdf (557.56 KB),"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||EE Chitaurgarh Dam Construction Division Balrampur",2025_UPIDC_1083668_62,01/EE/2025-26,Silt Clearance/Scraping work of Adamatara Mr. (Between km 0.00 to 5.540),1,5663474,AMRENDRA KUMAR TRIPATHI,09-Nov-2025 06:26 PM,Rejected-Finance,L2,05-Dec-2025 08:06 PM,05-Dec-2025,"INR 135,082",10.0,akhilesh kumar singh,06-Dec-2025 08:30 PM,AOCAdamtaramr.pdf (558.00 KB),Technical,Technical summary Report,akhilesh kumar singh,18-Nov-2025 06:57 PM,technical_1998285.pdf,AKHILESH KUMAR SINGH,Internal,,akhilesh kumar singh,18-Nov-2025 07:26 PM,19-Nov-2025 10:30 AM,techsummary_1998285.pdf (195.86 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5661963,M/S RAM KRISHAN MISHRA CONTRECTOR,08-Nov-2025 09:03 AM,Accepted-AOC,AOC,06-Dec-2025 08:30 PM,,,,,,,,,,,,,,,,,,,AOC
