S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5622703.0,RAJESH KUMAR MISHRA,INR,"299,181","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||IX Circle Irrigation Works, Bahraich||SCD-6, bahraich",2025_UPIDC_1083623_1,01/EE/SNK-6/2025-26,"Silt Clearance and Bed, Berm and inner slope Scraping from Km. 0.000 to 12.100 of Motipur Dy.",1,5628270,KOSIS ENTERPRISES,25-Oct-2025 05:20 PM,Rejected-Finance,Due To L2,04-Nov-2025 01:50 PM,21-Nov-2025,"INR 299,181",15.0,Vikash Shiromani Singh,10-Dec-2025 04:51 PM,AOC1.pdf (406.00 KB),AOC,EESNK6SHRAWASTI,Internal,EESNK6SHRAWASTIEESNK4BRH,Vikash Shiromani Singh,04-Nov-2025 01:50 PM,finsummary_1985070.pdf (195.25 KB),Technical,Bid Opening Summary,Vikash Shiromani Singh,27-Oct-2025 02:29 PM,,EESNK6SHRAWASTI,Internal,EESNK6SHRAWASTIEESNK4BRH,Vikash Shiromani Singh,01-Nov-2025 11:53 AM,03-Nov-2025 02:00 PM,techsummary_1985070.pdf (266.81 KB),Finance,FinancialSummary,Vikash Shiromani Singh,03-Nov-2025 02:48 PM,finance_1985070.pdf,BOQ Comparative Chart,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||IX Circle Irrigation Works, Bahraich||SCD-6, bahraich",01/EE/SNK-6/2025-26,2025_UPIDC_1083623_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENTS,"Silt Clearance and Bed, Berm and inner slope Scraping from Km. 0.000 to 12.100 of Motipur Dy.","Silt Clearance and Bed, Berm and inner slope Scraping from Km. 0.000 to 12.100 of Motipur Dy.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,BALRAMPUR,271201.0,NA ,NA ,NA ,OFFICE OF THE EE SNK 6 SHRAWASTI,No ,No,EE SNK 6 SHRAWASTI,OFFICE OF THE EE SNK 6 SHRAWASTI,18-Oct-2025 10:00 AM,27-Oct-2025 02:00 PM,18-Oct-2025 11:00 AM,27-Oct-2025 01:00 PM,NA ,NA ,18-Oct-2025 11:00 AM,27-Oct-2025 01:00 PM,03-Nov-2025 02:00 PM,677.0,Nil,Nil,No,"12,500",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5624509,M/S AKASH CONSTRUCTION,24-Oct-2025 03:20 PM,Rejected-Finance,Due to L3,04-Nov-2025 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5625254,M/S G N CONSTRUCTION,27-Oct-2025 11:33 AM,Rejected-Finance,Due to L5,04-Nov-2025 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5624409,M/S PRADHAN CONSTRUCTION,27-Oct-2025 11:12 AM,Rejected-Finance,Due to L6,04-Nov-2025 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5622703,RAJESH KUMAR MISHRA,23-Oct-2025 10:08 PM,Accepted-AOC,L1,10-Dec-2025 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5624780,Raj Kumar Singh,26-Oct-2025 08:18 PM,Rejected-Finance,Due to L4,04-Nov-2025 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
