S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5619253.0,HIMNSHU TRADERS,INR,"494,670","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||ID, auriya",2025_UPIDC_1082522_1,01/EE/2025-26,Silt clearance work of Kothipur Dy. from km. 0.000 to km. 18.363,1,5619341,ARUN KUMAR,21-Oct-2025 10:48 AM,Rejected-Finance,Higher Bid,14-Nov-2025 11:32 AM,14-Nov-2025,"INR 866,000",15.0,SANJAY KUMAR,03-Dec-2025 12:17 PM,kothipurdy.pdf (863.00 KB),EE,Internal,,SANJAY KUMAR,14-Nov-2025 11:32 AM,finsummary_1982547.pdf (1783.89 KB),Technical,Admitted,SANJAY KUMAR,21-Oct-2025 06:06 PM,,EE,Internal,,SANJAY KUMAR,22-Oct-2025 11:48 AM,24-Oct-2025 11:00 AM,techsummary_1982547.pdf (258.39 KB),Finance,Admitted,SANJAY KUMAR,14-Nov-2025 10:45 AM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,tender document,Silt clearance work of Kothipur Dy. from km. 0.000 to km. 18.363,Silt clearance,Please refer Tender documents. ,NA ,"8,66,000",Civil Works - Canal,NA ,Tender,90.0,15.0,Silt clearance work of Kothipur Dy. from km. 0.000,206244.0,NA ,NA ,NA ,"I.D. Auraiya, Dibiyapur",No ,No,"17,000",No,fixed,,Nil,Nil,14-Oct-2025 02:00 PM,21-Oct-2025 03:00 PM,14-Oct-2025 02:00 PM,21-Oct-2025 12:00 PM,NA ,NA ,14-Oct-2025 02:00 PM,21-Oct-2025 12:00 PM,24-Oct-2025 11:00 AM,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||ID, auriya",01/EE/2025-26,2025_UPIDC_1082522_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"EE I.D.Auraiya, Dibiyapur","I.D.Auraiya, Dibiyapur",1.0,Bid opening date,Date,,266.0,Nil,Nil,No,AOC
,,,,,,,,,2,5619253,HIMNSHU TRADERS,20-Oct-2025 04:10 PM,Accepted-AOC,Work is Completed,03-Dec-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5620727,M/S KEDAR SINGH YADAV AND SONS,21-Oct-2025 09:18 AM,Rejected-Finance,Higher Bid,14-Nov-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5620995,M/S SONI CONTRACTOR,21-Oct-2025 11:55 AM,Rejected-Finance,Higher Bid,14-Nov-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5620926,sudhir yadav,21-Oct-2025 11:54 AM,Rejected-Finance,Higher Bid,14-Nov-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
