Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
Committee,Internal,Committee,BHARAM PAL SINGH,14-Aug-2025 04:39 PM,14-Aug-2025 05:30 PM,techsummary_1914666.pdf (799.33 KB),01-Sep-2025,"INR 40,048,377.78",365.0,VIKAS KUMAR,02-Dec-2025 04:07 PM,AOC361_16.pdf (883.00 KB),AOC,Technical,UNDER EVALUATION,BHARAM PAL SINGH,14-Aug-2025 03:49 PM,,1.0,5325271.0,M/S ARY INFRATECH,INR,"40,048,377.78",Committee,Internal,Committee,BHARAM PAL SINGH,01-Sep-2025 02:03 PM,finsummary_1914666.pdf (406.37 KB),Finance,EVALUATION,BHARAM PAL SINGH,01-Sep-2025 01:52 PM,,BOQ Comparative Chart,1,5325271,M/S ARY INFRATECH,14-Jul-2025 01:32 PM,Accepted-AOC,L1,02-Dec-2025 04:07 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1052321_16,YEA/GM(PROJECT)/2025/361 DT-25/06/2025,"C/o 30mtr. wide road drain Sewerge system between Plot No TS-1B GH-16,GH-15 in Sector-22D yea .WC-02",AOC,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/361 DT-25/06/2025,2025_YEIDA_1052321_16,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"6,770",Nil,Nil,No,"11,28,000",No,fixed,,Nil,Nil,"C/o 30mtr. wide road drain Sewerge system between Plot No TS-1B GH-16,GH-15 in Sector-22D yea .WC-02","C/o 30mtr. wide road drain Sewerge system between Plot No TS-1B GH-16,GH-15 in Sector-22D yea .WC-02",Please refer Tender documents. ,NA ,"5,63,98,222",Civil Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,30-Jun-2025 06:55 PM,16-Jul-2025 11:00 AM,30-Jun-2025 06:55 PM,14-Jul-2025 05:00 PM,NA ,NA ,30-Jun-2025 06:55 PM,14-Jul-2025 05:00 PM,14-Aug-2025 05:30 PM,1.0,Fee/PreQual/Technical,.pdf,APPENDIX A TO E,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5326914,M/S KAPIL ENTERPRISES,14-Jul-2025 03:51 PM,Rejected-Finance,L4,01-Sep-2025 02:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5325505,M/S PRAVEEN KUMAR JAIN,14-Jul-2025 12:56 PM,Rejected-Finance,L2,01-Sep-2025 02:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5326353,M/S R G Builders,14-Jul-2025 03:41 PM,Rejected-Technical,DISQUALIFIED,14-Aug-2025 04:39 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5320629,PARAS CONSTRUCTION,14-Jul-2025 01:16 PM,Rejected-Finance,L5,01-Sep-2025 02:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5326307,SHUBHAM BUILDERS,14-Jul-2025 01:55 PM,Rejected-Finance,L3,01-Sep-2025 02:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
