S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,5618476.0,M/S MEENA RAJ TRADERS,INR,"231,564.14","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||ID, auriya",2025_UPIDC_1082546_1,01/EE/2025-26,Silt clearance work of Right Dibiyapur Dy. from km. 7.000 to km. 14.250,1,5618596,BANTI BABA ENTERPRISES,18-Oct-2025 09:29 PM,Rejected-Finance,Higher bid,14-Nov-2025 11:25 AM,14-Dec-2025,"INR 322,000",15.0,SANJAY KUMAR,03-Dec-2025 12:31 PM,rightdibiyapurdy.pdf (875.00 KB),EE,Internal,,SANJAY KUMAR,22-Oct-2025 11:59 AM,24-Oct-2025 11:00 AM,techsummary_1982605.pdf (258.39 KB),Finance,Admitted,SANJAY KUMAR,14-Nov-2025 10:38 AM,,BOQ Comparative Chart,EE,Internal,,SANJAY KUMAR,14-Nov-2025 11:25 AM,finsummary_1982605.pdf (1422.25 KB),Technical,Admitted,SANJAY KUMAR,21-Oct-2025 06:14 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,"EE I.D.Auraiya, Dibiyapur","I.D. Auraiya, Dibiyapur",14-Oct-2025 02:00 PM,21-Oct-2025 03:00 PM,14-Oct-2025 02:00 PM,21-Oct-2025 12:00 PM,NA ,NA ,14-Oct-2025 02:00 PM,21-Oct-2025 12:00 PM,24-Oct-2025 11:00 AM,"6,000",No,fixed,,Nil,Nil,Silt clearance work of Right Dibiyapur Dy. from km. 7.000 to km. 14.250,Silt Clearance,Please refer Tender documents. ,NA ,"3,22,000",Civil Works - Canal,NA ,Tender,90.0,15.0,Silt clearance work of Right Dibiyapur Dy. from km,206244.0,NA ,NA ,NA ,"I.D. Auraiya, Dibiyapur",No ,No,1.0,SBI Bank,177.0,Nil,Nil,No,1.0,Bid opening date,Date,,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||ID, auriya",01/EE/2025-26,2025_UPIDC_1082546_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5619552,BHOLE BABA CONSTRUCTION,19-Oct-2025 08:58 PM,Rejected-Finance,Higher bid,14-Nov-2025 11:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5618476,M/S MEENA RAJ TRADERS,18-Oct-2025 05:55 PM,Accepted-AOC,Lower Bid,03-Dec-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5617001,M/S Vimla construction,21-Oct-2025 12:05 AM,Rejected-Finance,Higher bid,14-Nov-2025 11:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
