S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5663649.0,M/S VINDHA PRASAD DUBEY,INR,"400,173.9","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 41 Amethi",2025_UPIDC_1086898_2,03/EE/SSK41/2025-26,Silt Clearance of Richhaura Distributary from Km.0.000 to km 9.772,1,5664864,369 Building Solutions,10-Nov-2025 11:00 PM,Rejected-Finance,as per bid,14-Nov-2025 02:11 PM,22-Nov-2025,"INR 400,173.9",10.0,Manish Ranjan,06-Dec-2025 11:32 AM,Richhaura.pdf (423.00 KB),Manish Ranjan,Internal,as per attachment,Manish Ranjan,14-Nov-2025 02:11 PM,finsummary_1998175.pdf (340.69 KB),Technical,as per attachment,Manish Ranjan,13-Nov-2025 03:03 PM,technical_1998175.pdf,Manish Ranjan,Internal,as per attachment,Manish Ranjan,13-Nov-2025 03:05 PM,13-Nov-2025 04:00 PM,techsummary_1998175.pdf (340.68 KB),Finance,as per attachment,Manish Ranjan,14-Nov-2025 02:07 PM,finance_1998175.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Document,725.0,Nil,Nil,No,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 41 Amethi",03/EE/SSK41/2025-26,2025_UPIDC_1086898_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer sharda Sahayak Khand 41 Aemthi,"Office of Executive Engineer, Sharda Sahayak Khand 41 Amethi",07-Nov-2025 11:00 AM,12-Nov-2025 03:00 PM,07-Nov-2025 11:00 AM,12-Nov-2025 11:00 AM,NA ,NA ,07-Nov-2025 11:00 AM,12-Nov-2025 11:00 AM,13-Nov-2025 04:00 PM,"9,520",No,fixed,,Nil,Nil,Silt Clearance of Richhaura Distributary from Km.0.000 to km 9.772,Silt Clearance of Richhaura Distributary from Km.0.000 to km 9.772,Please refer Tender documents. ,NA ,"4,76,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Amethi,227409.0,NA ,NA ,NA ,Gauriganj,No ,No,AOC
,,,,,,,,,2,5663680,M/S PIYUSH TRADERS,09-Nov-2025 01:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Nov-2025 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5666614,M/S RUDRA CONSTRUCTIONS,10-Nov-2025 07:30 PM,Rejected-Finance,as per bid,14-Nov-2025 02:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5663649,M/S VINDHA PRASAD DUBEY,09-Nov-2025 12:51 PM,Accepted-AOC,as per bid,06-Dec-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5666166,ONES ASSOCIATION,10-Nov-2025 04:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Nov-2025 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
