Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
Technical,all Admitted,Harshendra Gupta,24-Nov-2025 04:03 PM,,08-Dec-2025,"INR 330,000",15.0,Harshendra Gupta,08-Dec-2025 10:18 PM,lt.pdf (351.00 KB),H. Gupta,Internal,,Harshendra Gupta,24-Nov-2025 04:10 PM,26-Nov-2025 12:30 PM,techsummary_2004853.pdf (336.65 KB),"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1084482_33,03/E.E./2025-26,Earth Work in Silt Clearance/Scraping of Sirsa Dy. from Km. 0.000 to Km. 8.000,1,5693225,KAPIL DEO YADAV,22-Nov-2025 11:45 AM,Rejected-AOC,L3,08-Dec-2025 10:18 PM,1.0,5692621.0,Ms LAL BAHADUR YADAV THIKEDAR,INR,"229,943.2",H. Gupta,Internal,,Harshendra Gupta,08-Dec-2025 10:15 PM,finsummary_2004853.pdf (19.53 KB),Finance,all,Harshendra Gupta,08-Dec-2025 10:12 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,e-Document,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",03/E.E./2025-26,2025_UPIDC_1084482_33,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Earth Work in Silt Clearance/Scraping of Sirsa Dy. from Km. 0.000 to Km. 8.000,Earth Work in Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"3,30,000",Civil Works,NA ,Tender,90.0,15.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,17-Nov-2025 01:00 PM,22-Nov-2025 01:30 PM,17-Nov-2025 01:00 PM,22-Nov-2025 01:00 PM,NA ,NA ,17-Nov-2025 01:00 PM,22-Nov-2025 01:00 PM,26-Nov-2025 12:30 PM,"33,000",Yes,fixed,,Nil,Nil,177.0,Nil,Nil,No,1.0,SBI Bank,EXECTIVE ENGINEER,EXECTIVE ENGINEER Sharda Sahayak Khand 32 Azamgarh,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5692621,Ms LAL BAHADUR YADAV THIKEDAR,22-Nov-2025 10:22 AM,Accepted-AOC,L1,08-Dec-2025 10:18 PM,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,5693096,M/S SHRI RAM SINGH,22-Nov-2025 10:31 AM,Rejected-AOC,L2,08-Dec-2025 10:18 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
