S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender_Document,07-Nov-2025 11:00 AM,12-Nov-2025 03:00 PM,07-Nov-2025 11:00 AM,12-Nov-2025 11:00 AM,NA ,NA ,07-Nov-2025 11:00 AM,12-Nov-2025 11:00 AM,13-Nov-2025 04:00 PM,Executive Engineer sharda Sahayak Khand 41 Aemthi,Office of Executive Engineer Sharda Sahyak Khand 41 amethi,861.0,Nil,Nil,No,Silt Clearance of Singhpur Dy. from Km. 0.000 to 10.500,Silt Clearance of Singhpur Dy. from Km. 0.000 to 10.500,Please refer Tender documents. ,NA ,"9,62,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Amethi,227409.0,NA ,NA ,NA ,Gauriganj,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 41 Amethi",03/EE/SSK41/2025-26,2025_UPIDC_1086817_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"19,240",No,fixed,,Nil,Nil,AOC,Finance,as per attachment,Manish Ranjan,14-Nov-2025 02:00 PM,finance_1998120.pdf,BOQ Comparative Chart,Manish Ranjan,Internal,as per attachment,Manish Ranjan,13-Nov-2025 03:15 PM,13-Nov-2025 04:00 PM,techsummary_1998120.pdf (340.68 KB),Technical,as per attachment,Manish Ranjan,13-Nov-2025 03:12 PM,,Manish Ranjan,Internal,as per attachment,Manish Ranjan,14-Nov-2025 02:04 PM,finsummary_1998120.pdf (340.68 KB),19-Nov-2025,"INR 942,396.42",14.0,Manish Ranjan,06-Dec-2025 11:16 AM,Singhpur1.pdf (472.00 KB),1,5662287,369 Building Solutions,10-Nov-2025 12:06 PM,Accepted-AOC,as per bid,06-Dec-2025 11:16 AM,1.0,5662287.0,369 Building Solutions,INR,"942,396.42","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 41 Amethi",2025_UPIDC_1086817_2,03/EE/SSK41/2025-26,Silt Clearance of Singhpur Dy. from Km. 0.000 to 10.500,AOC
,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5666657,M/S RUDRA CONSTRUCTIONS,10-Nov-2025 07:15 PM,Rejected-Finance,as per bid,14-Nov-2025 02:04 PM,,,,,,,,,,AOC
