Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
PRADEEP KUMAR SINGH,Internal,EE S P CHAUDHARY,Pradeep Kumar Singh,17-Nov-2025 05:39 PM,17-Nov-2025 05:40 PM,techsummary_2000260.pdf (317.03 KB),01-Dec-2025,"INR 838,441",21.0,Pradeep Kumar Singh,01-Dec-2025 04:37 PM,karcchana01122025.pdf (417.00 KB),aoc,Technical,all bid accepted,Pradeep Kumar Singh,17-Nov-2025 05:34 PM,technical_2000260.pdf,Finance,all bid admitted,Pradeep Kumar Singh,01-Dec-2025 04:20 PM,,BOQ Comparative Chart,PRADEEP KUMAR SINGH,Internal,EE SC CHAUDHARY AND DIV ACCOUNTANT,Pradeep Kumar Singh,01-Dec-2025 04:26 PM,finsummary_2000260.pdf (416.79 KB),1.0,5675539.0,SANVI CONSTRUCTION,INR,"838,441","U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||TPCD, allahabad",2025_UPIDC_1083775_39,03/EE/2025-26,jungle clearnce and bed and side scraping of karcchana dy From km 0.000 to 28.810,1,5680280,MAA ENTERPRISES,15-Nov-2025 02:21 PM,Rejected-AOC,7th,01-Dec-2025 04:37 PM,AOC,"28,460",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,jungle clearnce and bed and side scraping of karcchana dy From km 0.000 to 28.810,jungle clearnce and bed and side scraping of karcchana dy From km 0.000 to 28.810,Please refer Tender documents. ,NA ,"14,23,000",Civil Works - Canal,NA ,Rate Contract,90.0,21.0,PRAYAGRAJ,211001.0,NA ,NA ,NA ,PRAYAGRAJ,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||TPCD, allahabad",03/EE/2025-26,2025_UPIDC_1083775_39,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER TONS PUMP CANAL DIV PRAYAGRAJ,EXECUTIVE ENGINEER TONS PUMP CANAL DIV PRAYAGRAJ,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,10-Nov-2025 03:30 PM,15-Nov-2025 03:30 PM,10-Nov-2025 03:30 PM,15-Nov-2025 03:30 PM,NA ,NA ,10-Nov-2025 03:30 PM,15-Nov-2025 03:30 PM,17-Nov-2025 05:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5678347,M/S GUFRAN CONSTRUCTION,15-Nov-2025 01:00 PM,Rejected-AOC,3rd,01-Dec-2025 04:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5677205,M/S INDRAJEET SINGH,14-Nov-2025 04:45 PM,Rejected-AOC,2nd,01-Dec-2025 04:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5679894,M/S ISHWAR ENTERPRISES,15-Nov-2025 11:24 AM,Rejected-AOC,5th,01-Dec-2025 04:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5677171,m/s satish chandra jaiswal,14-Nov-2025 09:42 PM,Rejected-AOC,4th,01-Dec-2025 04:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5680168,PRATIBHA SINGH,15-Nov-2025 01:43 PM,Rejected-AOC,6th,01-Dec-2025 04:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5675539,SANVI CONSTRUCTION,14-Nov-2025 10:26 AM,Accepted-AOC,Aggrement,01-Dec-2025 04:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
