Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Arvind verma,Internal,Ashutosh saraswat,ARVIND VERMA,16-Oct-2025 06:20 PM,17-Oct-2025 11:00 AM,techsummary_1980525.pdf (209.18 KB),07-Nov-2025,"INR 685,715.44",15.0,ARVIND VERMA,03-Dec-2025 11:57 AM,16.pdf (166.00 KB),ok,Technical,ok,ARVIND VERMA,16-Oct-2025 06:17 PM,technical_1980525.pdf,1.0,5608872.0,MOHD. SHOEB KHAN,INR,"685,715.44",Arvind verma,Internal,Ashutosh saraswat,ARVIND VERMA,17-Oct-2025 07:12 PM,finsummary_1980525.pdf (242.27 KB),Finance,Financial bid opening,ARVIND VERMA,17-Oct-2025 01:23 PM,finance_1980525.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||ID, pratapgarh",2025_UPIDC_1079272_16,01/EE/2025-26,Patch Repair work of Pratapgarh Dy service road from km. 9.430 to km. 13.300 Left Bank,1,5608872,MOHD. SHOEB KHAN,15-Oct-2025 11:54 AM,Accepted-AOC,ok,03-Dec-2025 11:57 AM,AOC,1.0,SBI Bank,Patch Repair work of Pratapgarh Dy service road from km. 9.430 to km. 13.300 Left Bank,Patch Repair work of Pratapgarh Dy service road from km. 9.430 to km. 13.300 Left Bank,Please refer Tender documents. ,NA ,"11,63,000",Civil Works - Canal,NA ,Tender,15.0,NA ,pratapgarh,230001.0,NA ,NA ,NA ,Irrigation Divison Pratapgarh,No ,No,"1,16,000",Yes,fixed,,Nil,Nil,10-Oct-2025 02:50 PM,15-Oct-2025 04:00 PM,10-Oct-2025 02:50 PM,15-Oct-2025 02:50 PM,NA ,NA ,10-Oct-2025 02:50 PM,15-Oct-2025 02:50 PM,17-Oct-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,016",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||ID, pratapgarh",01/EE/2025-26,2025_UPIDC_1079272_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Irrigation Divison Pratapgarh,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5608185,M/S ASHISH TIWARI CONTRACTOR,14-Oct-2025 06:29 PM,Rejected-Finance,highest bidder,17-Oct-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5609610,M/S PRAMOD TRADERS AND CONSTRUCTION,15-Oct-2025 02:39 PM,Rejected-Finance,highest bidder,17-Oct-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5609916,M/S Ravindra Pratap Singh,15-Oct-2025 02:24 PM,Rejected-Finance,highest bidder,17-Oct-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5609845,M/S SHIVANGI INTERPRISES,15-Oct-2025 01:39 PM,Rejected-Finance,highest bidder,17-Oct-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
