Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
23-Dec-2025,"INR 2,480,187.333",90.0,Vasu Krishna,23-Dec-2025 02:14 PM,ffffffffffffff.pdf (193.00 KB),Zp Amethi,Internal,,Ram Bachan Ram,27-Sep-2025 03:43 PM,finsummary_1940545.pdf (553.09 KB),Finance,Summary,Vasu Krishna,17-Sep-2025 04:55 PM,,BOQ Comparative Chart,Zp Amethi,Internal,,Ram Bachan Ram,16-Sep-2025 02:05 PM,16-Sep-2025 03:00 PM,techsummary_1940545.pdf (348.08 KB),1.0,5432095.0,M/S RAJPOOT CONSTRUCTION,INR,"2,480,187.333",Technical,Summary,Ram Bachan Ram,12-Sep-2025 04:38 PM,,Panchayati Raj Department||Zila Panchayat Amethi,2025_UPPRD_1064082_122,240/Nivida/ZP/2025-26 Date- 22-07-2025,Work No 122 Gram panchayat Bhanauli me Dhobi Ghat talab ka Jal sanchayan ewam sundarikaran,1,5436246,JITENDRA BAHADUR SINGH,16-Aug-2025 09:53 AM,Rejected-Finance,L3,27-Sep-2025 03:43 PM,AOC,Appar Mukhya Adhikari Zila Panchayat Amethi,Zila Panchayat Amethi,Work No 122 Gram panchayat Bhanauli me Dhobi Ghat talab ka Jal sanchayan ewam sundarikaran,Work No 122 Gram panchayat Bhanauli me Dhobi Ghat talab ka Jal sanchayan ewam sundarikaran,Please refer Tender documents. ,NA ,"24,83,913",Civil Works - Others,NA ,Tender,90.0,90.0,Amethi,227409.0,NA ,NA ,NA ,Zila Panchayat Amethi,No ,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Technical,Panchayati Raj Department||Zila Panchayat Amethi,240/Nivida/ZP/2025-26 Date- 22-07-2025,2025_UPPRD_1064082_122,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"2,931",AMA Zila Panchayat Amethi,Gauriganj Amethi,No,11-Aug-2025 12:00 PM,18-Aug-2025 02:30 PM,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,NA ,NA ,11-Aug-2025 12:00 PM,18-Aug-2025 02:00 PM,16-Sep-2025 03:00 PM,"49,678",No,percentage,2.0%,AMA Zila Panchayat Amethi,Gauriganj Amethi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5432095,M/S RAJPOOT CONSTRUCTION,15-Aug-2025 12:36 AM,Accepted-AOC,Accepted,23-Dec-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5438507,M/S SHRI AYODHYA ASSOCIATES,17-Aug-2025 04:44 AM,Rejected-Finance,L2,27-Sep-2025 03:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
