Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Silt clearance work of keshampur Mr. from km. 0.000 to km. 7.115,silt clearance,Please refer Tender documents. ,NA ,"2,08,000",Civil Works - Canal,NA ,Tender,90.0,15.0,Dibiyapur,206244.0,NA ,NA ,NA ,"I.D. Auraiya, Dibiyapur",No ,No,"EE I.I.D.Auraiya, Dibiyapur","I.D.Auraiya, Dibiyapur",1.0,SBI Bank,"4,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||ID, auriya",01/EE/2025-26,2025_UPIDC_1082548_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,22-Oct-2025 10:00 AM,27-Oct-2025 04:00 PM,22-Oct-2025 11:00 AM,27-Oct-2025 02:00 PM,NA ,NA ,22-Oct-2025 01:00 PM,27-Oct-2025 02:00 PM,29-Oct-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,Tender notice,177.0,Nil,Nil,No,AOC,Technical,Admitted,SANJAY KUMAR,27-Oct-2025 06:30 PM,,EE,Internal,,SANJAY KUMAR,14-Nov-2025 11:14 AM,finsummary_1987311.pdf (1756.65 KB),Finance,Admitted,SANJAY KUMAR,14-Nov-2025 10:54 AM,,BOQ Comparative Chart,EE,Internal,,SANJAY KUMAR,27-Oct-2025 06:43 PM,29-Oct-2025 11:00 AM,techsummary_1987311.pdf (634.49 KB),14-Nov-2025,"INR 208,000",15.0,SANJAY KUMAR,03-Dec-2025 12:41 PM,keshampurmr.pdf (1221.00 KB),1.0,5629959.0,BHOLE BABA CONSTRUCTION,INR,"188,349.62","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||ID, auriya",2025_UPIDC_1082548_2,01/EE/2025-26,Silt clearance work of keshampur Mr. from km. 0.000 to km. 7.115,1,5629959,BHOLE BABA CONSTRUCTION,26-Oct-2025 04:36 PM,Accepted-AOC,Lower Bid,03-Dec-2025 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5631699,M/S R D CONSTRUCTION SUPPLIER,27-Oct-2025 11:47 AM,Rejected-Finance,Higher Bid,14-Nov-2025 11:14 AM,AOC
