Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||XV Circle Irrigation Work, Gonda||EE SARYU NAHAR KHAND-3, GONDA",02/EE/2025-26,2025_UPIDC_1084343_12,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,12-Nov-2025 04:10 PM,18-Nov-2025 03:00 PM,12-Nov-2025 04:10 PM,18-Nov-2025 01:00 PM,NA ,NA ,12-Nov-2025 04:10 PM,18-Nov-2025 01:00 PM,19-Nov-2025 05:00 PM,E.E.,SARYU NAHAR KHAND 3 GONDA,1.0,SBI Bank,"6,000",Yes,fixed,,Nil,Nil,LOT03,Silt clearence and scraiping between km 0.000 to 6.700 and km. 6.700 to 11.100 of Dumariyadeeh Mr.,Please refer Tender documents. ,NA ,"2,94,000",Civil Works,NA ,Tender,15.0,NA ,GONDA,271001.0,NA ,NA ,NA ,GONDA,No ,No,1.0,Fee/PreQual/Technical,.pdf,NTT,854.0,Nil,Nil,No,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||XV Circle Irrigation Work, Gonda||EE SARYU NAHAR KHAND-3, GONDA",2025_UPIDC_1084343_12,02/EE/2025-26,LOT03,1.0,5684999.0,SHRI MAHADEV CONSTRUCTION,18-Nov-2025 12:15 PM,Accepted-AOC,L1,08-Dec-2025 10:42 AM,Finance,admit,Satish Kumar,06-Dec-2025 02:27 PM,finance_2001717.pdf,BOQ Comparative Chart,E.E. SNK-3 GONDA,Internal,E.E. SNK-2 GONDA,Satish Kumar,06-Dec-2025 02:37 PM,finsummary_2001717.pdf (116.99 KB),1.0,5684999.0,SHRI MAHADEV CONSTRUCTION,INR,"291,199.13",E.E. SNK-3 GONDA,Internal,E.E. SNK-2 GONDA,Satish Kumar,19-Nov-2025 02:44 PM,19-Nov-2025 05:00 PM,techsummary_2001717.pdf (152.92 KB),Technical,admitted,Satish Kumar,19-Nov-2025 11:11 AM,technical_2001717.pdf,08-Dec-2025,"INR 291,199.13",15.0,Satish Kumar,08-Dec-2025 10:42 AM,st3.pdf (285.00 KB),award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER DOC,,,,,AOC,,,,,2.0,5684984.0,UDAI PRATAP SINGH,18-Nov-2025 12:14 PM,Rejected-AOC,L2,08-Dec-2025 10:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
