EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"27,920",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,BId,CUTTING OF EXTRA BERM IN INTERNAL SECTION AND STRENTHENING OF BANK FROM KM 118.050 TO KM 119.450 OF JAUNPUR BRANCH,CUTTING OF EXTRA BERM IN INTERNAL SECTION AND STRENTHENING OF BANK FROM KM 118.050 TO KM 119.450 OF JAUNPUR BRANCH,Please refer Tender documents. ,NA ,"13,96,000",Civil Works,NA ,Tender,90.0,21.0,Pratapgarh,230001.0,NA ,NA ,NA ,"Executive Engineer, Sharda Sahayak Khand-51, Prat",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 51 Pratapgarh",01/S.S.K-51/2025-26,2025_UPIDC_1079112_20,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Executive Engineer, Sharda Sahayak Khand-51, Pratapgarh",766.0,Nil,Nil,No,01-Oct-2025 06:00 PM,14-Oct-2025 01:00 PM,01-Oct-2025 06:00 PM,13-Oct-2025 05:00 PM,NA ,NA ,01-Oct-2025 06:00 PM,13-Oct-2025 05:00 PM,29-Nov-2025 04:00 PM,1.0,SBI Bank,AOC,1.0,5601036.0,M/S G.S. CONSTRUCTION,INR,"682,041.3",Finance,ok,ashutosh saraswat,04-Dec-2025 12:43 PM,finance_1974177.pdf,BOQ Comparative Chart,Ashutosh Saraswat,Internal,manish ranjan,ashutosh saraswat,04-Dec-2025 12:59 PM,finsummary_1974177.pdf (416.28 KB),1,5603666,A K CONSTRUCTION COMPANY,13-Oct-2025 02:10 PM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVI Circle Irrigation Works, Pratapgargh||Sharda Sahayak Division 51 Pratapgarh",2025_UPIDC_1079112_20,01/S.S.K-51/2025-26,CUTTING OF EXTRA BERM IN INTERNAL SECTION AND STRENTHENING OF BANK FROM KM 118.050 TO KM 119.450 OF JAUNPUR BRANCH,06-Dec-2025,"INR 682,041.3",21.0,ashutosh saraswat,23-Dec-2025 04:31 PM,20.pdf (450.00 KB),ok,Technical,ok,ashutosh saraswat,29-Nov-2025 02:52 PM,technical_1974177.pdf,Ashutosh Saraswat,Internal,manish ranjan,ashutosh saraswat,29-Nov-2025 03:02 PM,29-Nov-2025 04:00 PM,techsummary_1974177.pdf (178.97 KB),AOC
,,,,,,,,.pdf,Tender Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5603236,EFENGY CONSTRUCTION PRIVATE LIMITED,13-Oct-2025 11:28 AM,Rejected-Technical,document not complete,29-Nov-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,5599388,M/S AMAR NATH VERMA CONTRACTOR,11-Oct-2025 11:34 AM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,5602794,Ms A S Construction,13-Oct-2025 11:37 AM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,5601036,M/S G.S. CONSTRUCTION,12-Oct-2025 01:15 PM,Accepted-AOC,ok,23-Dec-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,5604097,M/S JAWAHAR LAL,13-Oct-2025 03:31 PM,Rejected-Technical,document not complete,29-Nov-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,5601600,M/S Ravindra Pratap Singh,12-Oct-2025 04:38 PM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,5603640,M/S SHIKHAR BUILDERS,13-Oct-2025 04:40 PM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,5603789,NIKHIL CONSTRUCTION,13-Oct-2025 03:59 PM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,5602345,NIRBHAY PRATAP SINGH,13-Oct-2025 08:03 AM,Rejected-Finance,higher bidder,04-Dec-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
