EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,97,000",No,fixed,,Nil,Nil,04-Oct-2025 09:00 AM,09-Oct-2025 03:30 PM,04-Oct-2025 10:00 AM,09-Oct-2025 03:00 PM,NA ,NA ,04-Oct-2025 10:00 AM,09-Oct-2025 03:00 PM,17-Oct-2025 05:50 PM,SE XII CIRCLE IRRIGATION WORKS LUCKNOW,"Ganga sinchai bhawan, Telibagh, Lucknow",Renewal of metalled road from km. 0.000 to km. 8.550 of Girija barrage right bank afflux bund in Lakhimpur kheri,Renewal of metalled road from km. 0.000 to km. 8.550 of Girija barrage right bank afflux bund in Lakhimpur kheri,Please refer Tender documents. ,NA ,"1,48,32,000",Civil Works,NA ,Tender,90.0,45.0,LAKHIMPUR KHERI,262701.0,"Ganga sinchai bhawan, Telibagh, Lucknow ","Ganga sinchai bhawan, Telibagh, Lucknow ",06-Oct-2025 02:00 PM ,LUCKNOW,No ,No,"4,466",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",06/SE-XII/2025-26,2025_UPIDC_1079760_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,PRE QUALIFICATION DOCUMENTS,1.0,SBI Bank,AOC,Technical,TECHNICAL BID OPENED,Lavkush Singh,14-Oct-2025 05:28 PM,,"LAVKUSH SINGH, SE XII CIRCLE",Internal,BP SINGH SE VII CIRCLE IW LKO,Lavkush Singh,18-Oct-2025 05:17 PM,finsummary_1975197.pdf (786.69 KB),Finance,TECHNICAL BID OPENED,Lavkush Singh,18-Oct-2025 05:08 PM,,BOQ Comparative Chart,"LAVKUSH SINGH, SE XII CIRCLE",Internal,BP SINGH SE VII CIRCLE IW LKO,Lavkush Singh,14-Oct-2025 05:35 PM,17-Oct-2025 05:50 PM,techsummary_1975197.pdf (1801.43 KB),24-Oct-2025,"INR 10,810,181.76",45.0,Lavkush Singh,02-Dec-2025 02:34 PM,1.pdf (1038.00 KB),AOC,1,5589781,Jagat Construction,08-Oct-2025 07:57 PM,Rejected-Finance,3RD LOWEST,18-Oct-2025 05:17 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",2025_UPIDC_1079760_1,06/SE-XII/2025-26,Renewal of metalled road from km. 0.000 to km. 8.550 of Girija barrage right bank afflux bund in Lakhimpur kheri,1.0,5596511.0,NAMO CONSTRUCTION,INR,"10,810,181.76",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5594787,LINE COMMUNICATION,09-Oct-2025 12:21 PM,Rejected-Finance,4TH LOWEST,18-Oct-2025 05:17 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5593872,M/S ANAND KUMAR,08-Oct-2025 06:59 PM,Rejected-Finance,7TH LOWEST,18-Oct-2025 05:17 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5590904,M/S KAPOOR TRADERS,08-Oct-2025 08:11 PM,Rejected-Finance,5TH LOWEST,18-Oct-2025 05:17 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5595992,M/S MUMREJ CONSTRUCTION,09-Oct-2025 12:52 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,14-Oct-2025 05:35 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5594656,M/S Rakesh Kumar Contractor,09-Oct-2025 12:35 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,14-Oct-2025 05:35 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5588111,M/S SINGH CONSTRUCTION,09-Oct-2025 10:57 AM,Rejected-Finance,8TH LOWEST,18-Oct-2025 05:17 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5596511,NAMO CONSTRUCTION,09-Oct-2025 02:46 PM,Accepted-AOC,1ST LOWEST,02-Dec-2025 02:34 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5590265,Ram Chandar Singh,09-Oct-2025 11:58 AM,Rejected-Finance,9TH LOWEST,18-Oct-2025 05:17 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5595819,SHIVANAND SHUKLA,09-Oct-2025 12:03 PM,Rejected-Finance,6TH LOWEST,18-Oct-2025 05:17 PM,,,,,,,,,,AOC
