Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Committee,Internal,Committee,BHARAM PAL SINGH,06-Oct-2025 03:46 PM,06-Oct-2025 04:30 PM,techsummary_1935063.pdf (598.36 KB),18-Nov-2025,"INR 2,425,343.8",120.0,VIKAS KUMAR,24-Dec-2025 05:36 PM,aoc394_14.pdf (2267.00 KB),AOC,Technical,UNDER EVALUATION,VIKAS KUMAR,06-Oct-2025 03:30 PM,,1.0,5417434.0,M/S STRONG FOUNDATION ASSOCAITES,INR,"2,425,343.8",Committee,Internal,Committee,VIKAS KUMAR,18-Nov-2025 04:12 PM,finsummary_1935063.pdf (1774.22 KB),Finance,EVALUATION,VIKAS KUMAR,18-Nov-2025 03:45 PM,,BOQ Comparative Chart,1,5411360,JAI SHRI KRISHNA CONTRACTOR AND SUPPLIER,08-Aug-2025 02:24 PM,Rejected-Finance,L7,18-Nov-2025 04:12 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1061572_14,YEA/GM(PROJECT)/2025/394 DT-29/07/2025,"Construction of c.c road from shivram sharma home to balaji mandir link road in village wailana ,YEA WC-06",AOC,"70,700",No,fixed,,Nil,Nil,1.0,SBI Bank,"Construction of c.c road from shivram sharma home to balaji mandir link road in village wailana ,YEA WC-06","Construction of c.c road from shivram sharma home to balaji mandir link road in village wailana ,YEA WC-06",Please refer Tender documents. ,NA ,"35,33,426",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/394 DT-29/07/2025,2025_YEIDA_1061572_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,01-Aug-2025 06:34 PM,13-Aug-2025 11:00 AM,01-Aug-2025 06:55 PM,11-Aug-2025 05:00 PM,NA ,NA ,01-Aug-2025 06:55 PM,11-Aug-2025 05:00 PM,06-Oct-2025 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",945.0,Nil,Nil,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5418684,M/s Bhanwar Singh,11-Aug-2025 04:47 PM,Rejected-Finance,L9,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5417648,M/S PRATHVI ENTERPRISES,11-Aug-2025 04:39 PM,Rejected-Finance,L6,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5417434,M/S STRONG FOUNDATION ASSOCAITES,11-Aug-2025 12:42 PM,Accepted-AOC,L1,24-Dec-2025 05:37 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5418465,M/S SUKHDEV SINGH CONTRACTOR,11-Aug-2025 04:11 PM,Rejected-Finance,L3,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5411948,PITAMBARA ASSOCIATE,08-Aug-2025 04:14 PM,Rejected-Finance,L2,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5412022,SHIVAM CONSTRUCTION CO,11-Aug-2025 01:44 PM,Rejected-Finance,L5,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5418873,SHRIJI CONSTRUCTION AND ELECTRICALS,11-Aug-2025 04:35 PM,Rejected-Finance,L4,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5418763,Sumit kumar,11-Aug-2025 04:37 PM,Rejected-Finance,L8,18-Nov-2025 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
