Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
ASSISTANT ENGINEER,ASSISTANT ENGINEER-I SHARDA SAHAYAK KHAND-32 AZAMGARH,559.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,e-Document,"Earth Work in Silt Clearance and Scraping of Panti Mr. from Km. 0.000 to Km. 1.680, Samdi Mr. from Km. 0.000 to Km. 2.1000 and Achchhepur Mr. from Km. 0.000 to Km. 1.700",Silt Clearance and Scraping,Please refer Tender documents. ,NA ,"76,000",Civil Works,NA ,Tender,90.0,15.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",02/AE-I/2025-26,2025_UPIDC_1085665_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,600",Yes,fixed,,Nil,Nil,1.0,SBI Bank,27-Oct-2025 10:00 AM,03-Nov-2025 12:30 PM,27-Oct-2025 01:00 PM,03-Nov-2025 11:00 AM,NA ,NA ,27-Oct-2025 01:00 PM,03-Nov-2025 11:00 AM,10-Nov-2025 10:30 AM,AOC,A.SINGH,Internal,,ABHISHEK SINGH,08-Nov-2025 06:39 PM,10-Nov-2025 10:30 AM,techsummary_1989988.pdf (978.51 KB),Finance,all Admitted,ABHISHEK SINGH,28-Nov-2025 01:39 PM,,BOQ Comparative Chart,A. SINGH,Internal,,ABHISHEK SINGH,23-Dec-2025 06:38 PM,finsummary_1989988.pdf (19.91 KB),Technical,all Admitted,ABHISHEK SINGH,07-Nov-2025 09:40 PM,,1,5642133,Ms A S Construction,01-Nov-2025 07:02 PM,Rejected-Finance,L2,23-Dec-2025 06:38 PM,1.0,5641619.0,M S CONSTRUCTION,INR,"60,636.48","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1085665_8,02/AE-I/2025-26,"Earth Work in Silt Clearance and Scraping of Panti Mr. from Km. 0.000 to Km. 1.680, Samdi Mr. from Km. 0.000 to Km. 2.1000 and Achchhepur Mr. from Km. 0.000 to Km. 1.700",23-Dec-2025,"INR 76,000",15.0,ABHISHEK SINGH,23-Dec-2025 06:41 PM,Accepted.pdf (20.00 KB),AOC
,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5641619,M S CONSTRUCTION,01-Nov-2025 07:52 PM,Accepted-AOC,L1,23-Dec-2025 06:41 PM,,,,,,,,,,,,,,,,AOC
