Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-6, nazibabad",2025_UPIDC_1085704_4,03/EE/2025-26,Restoration of Canal Section of Mankuwa Dy. from km. 0.000 to 6.400,1.0,5650074.0,SANDEEP KUMAR SINGHAL,INR,"658,664",1,5650482,AARU ENTERPRISE,04-Nov-2025 11:30 AM,Rejected-Technical,Documents incomplete,27-Nov-2025 05:50 PM,16-Dec-2025,"INR 658,664",120.0,Trilok Chand,16-Dec-2025 05:55 PM,4.pdf (378.00 KB),DOS 15.12.2025,Er. Trilok Chand,Internal,EE EGCCD2 Haridwar,Trilok Chand,16-Dec-2025 05:17 PM,finsummary_1990108.pdf (335.96 KB),Technical,08 Bidders Admitted in technical bid,Trilok Chand,27-Nov-2025 05:19 PM,,Er. Trilok Chand,Internal,E.E. EGCCD2 Haridwar,Trilok Chand,27-Nov-2025 05:50 PM,28-Nov-2025 10:00 AM,techsummary_1990108.pdf (335.96 KB),Finance,04 Bidders Admitted in Financial Bid,Trilok Chand,01-Dec-2025 04:44 PM,,BOQ Comparative Chart,AOC,"23,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Executive Engineer,EGCCD6 Najibabad,1.0,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-6, nazibabad",03/EE/2025-26,2025_UPIDC_1085704_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Restoration of Canal Section of Mankuwa Dy. from km. 0.000 to 6.400,Restoration of Canal Section of Mankuwa Dy. from km. 0.000 to 6.400,Please refer tender documents ,NA ,"11,09,000",Civil Works - Canal,NA ,Tender,90.0,120.0,Najibabad,246763.0,NA ,NA ,NA ,Najibabad,No ,No,27-Oct-2025 10:00 AM,05-Nov-2025 02:00 PM,28-Oct-2025 10:00 AM,04-Nov-2025 02:00 PM,28-Oct-2025 10:00 AM ,04-Nov-2025 02:00 PM ,28-Oct-2025 10:00 AM,04-Nov-2025 02:00 PM,28-Nov-2025 10:00 AM,266.0,Nil,Nil,No,AOC
,,,,,,,,,2,5651705,CHHATAR PAL SINGH CONTRACTOR,04-Nov-2025 01:16 PM,Rejected-Technical,Documents incomplete,27-Nov-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5651729,M/S HAMENDRA SINGH CONTRACTOR,04-Nov-2025 01:22 PM,Rejected-Technical,No experience of the same nature,27-Nov-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5649337,M/S NETRAPAL SINGH,04-Nov-2025 11:28 AM,Rejected-Finance,Lowest III,16-Dec-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5651297,RAJENDRA SINGH,04-Nov-2025 11:58 AM,Rejected-Finance,Lowest I,16-Dec-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5650074,SANDEEP KUMAR SINGHAL,03-Nov-2025 07:13 PM,Accepted-AOC,Lowest I,16-Dec-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5651122,VED PRAKASH,04-Nov-2025 10:26 AM,Rejected-Technical,Documents incomplete,27-Nov-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5651590,VINEET KUMAR,04-Nov-2025 12:32 PM,Rejected-Finance,Lowest IV,16-Dec-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
