Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
15-Dec-2025,"INR 2,345,000",120.0,JAGANNATH PRASAD,15-Dec-2025 01:50 PM,AOC3.pdf (555.00 KB),DOS,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1042724_2,03/LCDJ/EE/2025-26,Construction of CC Lining in Parichha Minor at Reach 1.30 km to 1.60 km of Badagaon Pump Canal situated in Block Badagaon Chirgaon District Jhansi LOT-2,1.0,5228746.0,M/S Sushila Enterprises,INR,"2,232,204",1,5229741,AYUSH AGRO,02-Jun-2025 06:06 AM,Rejected-Technical,non responsive,12-Jun-2025 03:41 PM,Finance,Financial Evaluation Complete,JAGANNATH PRASAD,15-Dec-2025 01:38 PM,,BOQ Comparative Chart,EE Jagannath Prasad,Internal,,JAGANNATH PRASAD,12-Jun-2025 03:41 PM,12-Jun-2025 05:00 PM,techsummary_1892016.pdf (647.20 KB),Technical,All Bids are admitted,JAGANNATH PRASAD,02-Jun-2025 04:13 PM,technical_1892016.pdf,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE MANOJ KUMAR GUPTA,JAGANNATH PRASAD,15-Dec-2025 01:46 PM,finsummary_1892016.pdf (284.80 KB),AOC,"47,000",No,fixed,,Nil,Nil,1.0,SBI Bank,EXECUTIVE ENGINEER LIFT CANAL DIVISION JHANSI,OFFICE OF THE EXECUTIVE ENGINEER LIFT CANAL DIVISION Gwalior Road Civil Lines Jhansi,26-May-2026 06:45 PM,02-Jun-2025 02:00 PM,26-May-2025 10:00 AM,02-Jun-2025 12:00 PM,NA ,NA ,26-May-2025 10:00 AM,02-Jun-2025 12:00 PM,12-Jun-2025 05:00 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,03/LCDJ/EE/2025-26,2025_UPIDM_1042724_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,Construction of CC Lining in Parichha Minor at Reach 1.30 km to 1.60 km of Badagaon Pump Canal situated in Block Badagaon Chirgaon District Jhansi LOT-2,Construction of CC Lining in Parichha Minor at Reach 1.30 km to 1.60 km of Badagaon Pump Canal situated in Block Badagaon Chirgaon District Jhansi,Please refer Tender documents. ,NA ,"23,45,000",Civil Works,NA ,Tender,90.0,120.0,Badagaon Jhansi,284121.0,Jhansi ,OFFICE OF THE EXECUTIVE ENGINEER LIFT CANAL DIVISION Gwalior Road Civil Lines Jhansi ,27-May-2025 01:00 PM ,Jhansi,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,,,,,,,,,,2,5229944,M/s Sanika Construction,02-Jun-2025 10:20 AM,Rejected-Finance,Not Being Lowest,15-Dec-2025 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,,,,,,,,,,3,5228746,M/S Sushila Enterprises,01-Jun-2025 10:16 PM,Accepted-AOC,AOC,15-Dec-2025 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5230035,Naitik Infratech,02-Jun-2025 11:59 AM,Rejected-Technical,non responsive,12-Jun-2025 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5228319,RAM KISHOR CONTRACTOR,31-May-2025 07:47 PM,Rejected-Technical,non responsive,12-Jun-2025 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5229018,Shrishti Construction,01-Jun-2025 04:28 PM,Rejected-Finance,Not Being Lowest,15-Dec-2025 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,AOC
