S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5685670.0,M/s BABU PRASAD TIWARI,19-Nov-2025 10:13 AM,Accepted-AOC,AOC,15-Dec-2025 04:06 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,2025_UPIDM_1088663_1,20/LCDJ/EE/2025-26,Reconstruction of Jiledari Office of Ist Sub Division Lift Canal Division Jhansi at Tubewell Circle premise Gwalior Road District Jhansi,1.0,5685670.0,M/s BABU PRASAD TIWARI,INR,"1,755,514",15-Dec-2025,"INR 2,296,000",120.0,JAGANNATH PRASAD,15-Dec-2025 04:06 PM,AOC20.pdf (519.00 KB),DOS,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE NEETU YADAV,JAGANNATH PRASAD,15-Dec-2025 03:58 PM,finsummary_1997761.pdf (307.90 KB),Technical,All Bids are Admitted,JAGANNATH PRASAD,19-Nov-2025 03:54 PM,technical_1997761.pdf,EE JAGANNATH PRASAD,Internal,EE JAGANNATH PRASAD EE VIKRAM SINGH AE NEETU YADAV,JAGANNATH PRASAD,20-Nov-2025 05:13 PM,20-Nov-2025 05:20 PM,techsummary_1997761.pdf (440.72 KB),Finance,Financial Bids admitted,JAGANNATH PRASAD,15-Dec-2025 03:53 PM,finance_1997761.pdf,BOQ Comparative Chart,AOC,854.0,Nil,Nil,No,Executive Engineer,"Office of The Executive Engineer, Lift Canal Division, Gwalior Road, Civil Lines, Jhansi",1.0,SBI Bank,"46,000",No,fixed,,Nil,Nil,13-Nov-2025 10:00 AM,19-Nov-2025 02:00 PM,13-Nov-2025 10:00 AM,19-Nov-2025 12:00 PM,NA ,NA ,13-Nov-2025 10:00 AM,19-Nov-2025 12:00 PM,20-Nov-2025 05:20 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi||Executive Engineer (LCD)-Jhansi,20/LCDJ/EE/2025-26,2025_UPIDM_1088663_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,Reconstruction of Jiledari Office of Ist Sub Division Lift Canal Division Jhansi at Tubewell Circle premise Gwalior Road District Jhansi,Reconstruction of Jiledari Office of Ist Sub Division Lift Canal Division Jhansi at Tubewell Circle premise Gwalior Road District Jhansi,Please refer Tender documents. ,NA ,"22,96,000",Civil Works,NA ,Tender,90.0,120.0,Jhansi,284001.0,NA ,NA ,NA ,Jhansi,No ,No,AOC
2.0,5675817.0,M/s Maa Shitla Construction,17-Nov-2025 02:32 PM,Rejected-Finance,Not Being Lowest,15-Dec-2025 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,2,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,AOC
3.0,5686427.0,M/s Sanika Construction,19-Nov-2025 11:41 AM,Rejected-Finance,Not Being Lowest,15-Dec-2025 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,AOC
