Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Birendra Pasean,Internal,,Birendra Paswan,24-Oct-2025 12:55 PM,24-Oct-2025 03:00 PM,techsummary_1972427.pdf (468.61 KB),11-Dec-2025,"INR 55,444.95",20.0,Birendra Paswan,29-Dec-2025 11:01 AM,pipra_27.pdf (587.00 KB),Technical,As per Upload,Birendra Paswan,19-Oct-2025 09:34 PM,technical_1972427.pdf,1.0,5600974.0,M/S JAI MAA VAISNO TRADERS,INR,"55,444.95",Finance,As per Upload,Birendra Paswan,20-Nov-2025 01:42 PM,finance_1972427.pdf,BOQ Comparative Chart,Birendra Paswan,Internal,,Birendra Paswan,06-Dec-2025 11:23 AM,finsummary_1972427.pdf (235.87 KB),1,5600974,M/S JAI MAA VAISNO TRADERS,12-Oct-2025 01:08 PM,Accepted-AOC,As per Upload,29-Dec-2025 11:01 AM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1078690_11,03/EESNK1BANSI/2025-26,SiltScraping and jungle clearance of Pipar Mr. From Km.0.000 to Km. 2.500,AOC,"1,000",Yes,fixed,,Nil,Nil,559.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,04-Oct-2025 10:00 AM,13-Oct-2025 02:00 PM,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,NA ,NA ,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,24-Oct-2025 03:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",03/EESNK1BANSI/2025-26,2025_UPIDC_1078690_11,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,SiltScraping and jungle clearance of Pipar Mr. From Km.0.000 to Km. 2.500,SiltScraping and jungle clearance of Pipar Mr. From Km.0.000 to Km. 2.500,Please refer Tender documents. ,NA ,"7,000",Civil Works - Canal,NA ,Rate Contract,90.0,20.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5599608,M/S JAY MAA DURGE ENTERPRISES,11-Oct-2025 02:28 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:23 AM,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5601784,M/S PRABHAT TRADERS,12-Oct-2025 06:20 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:23 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5601736,M/S SHUKLA ENTERPRISES,12-Oct-2025 05:16 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:23 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5603465,SHAKUNTALA MISHRA,13-Oct-2025 12:57 PM,Rejected-Finance,As per Upload,06-Dec-2025 11:23 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
